conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
jose| I am easy with restaurant choice| [person:jose m 0-0][location:restaurant s 4-4]
paul| let s all go to zippy and get some local food|
jose| sounds like a plan|
jose| can you make the reservation| [person:paul m 1-1]
paul| Yes I will| [person:paul m 1-1]

conv:people_2019080801_73:aug_0:chat_0:chataug_0| christian rafael| [person:christian m 0-0][person:rafael m 1-1]
christian| Hey Rafael| [person:rafael m 1-1]
rafael| Yeah what is going on|
christian| I was thinking where we should invite Jose Benjamin Harry and Steve| [person:christian m 0-0][person:we g(christian:rafael) 4-4][person:jose m 7-7][person:benjamin m 8-8][person:harry m 9-9][person:steve m 11-11]
rafael| Same here I was thinking the same thing as well| [person:rafael m 2-2]
christian| Where do you think is the best place to invite them| [person:rafael m 2-2][location:place s 7-7][person:them g(jose:benjamin:harry:steve) 10-10]
rafael| I am not sure When are they coming to town| [person:rafael m 0-0][person:them g(jose:benjamin:harry:steve) 6-6][location:town s 9-9]
christian| They get here by next Friday| [person:them g(jose:benjamin:harry:steve) 0-0][location:town s 2-2]
rafael| Great I think we should take them out to Venice Beach and later to meet with everyone at your birthday| [person:rafael m 1-1][person:we g(christian:rafael) 3-3][person:them g(jose:benjamin:harry:steve) 6-6][location:beach s 10-10][person:everyone g() 16-16][person:christian m 18-18]
christian| Right I think that is a great idea| [person:christian m 1-1]
rafael| I think we should do that It will be great for Jose Benjamin Harry and Steve| [person:rafael m 0-0][person:we g(christian:rafael) 2-2][person:jose m 11-11][person:benjamin m 12-12][person:harry m 13-13][person:steve m 15-15]
christian| That way they can all meet the family again It has been a long time since we all met each other| [person:them g(jose:benjamin:harry:steve) 2-2][person:family g() 7-7][person:we g(christian:rafael:jose:benjamin:harry:steve) 16-16]

conv:people_2019080801_74:aug_0:chat_0:chataug_0| eva josh| [person:eva f 0-0][person:josh m 1-1]
josh| Hey Eva Remember we are going to the Bryant s for lunch tomorrow| [person:eva f 1-1][person:we g(josh:eva) 3-3][person:bryant m 8-8]
eva| I know But Harry is arriving tomorrow I don t know what to do| [person:eva f 0-0][person:harry m 3-3][person:eva f 7-7]
josh| Oh that s bad timing|
eva| Yes it is Do you think they would mind if I invited him along| [person:josh m 4-4][person:they g(bryant:harry) 6-6][person:josh m 10-10][person:bryant m 12-12]
josh| Not at all Especially if you explained the situation to them You haven t seen your cousin in a long time| [person:eva f 5-5][person:them g(bryant:harry) 10-10][person:eva f 11-11][person:eva f 15-15][person:harry m 16-16]
eva| Okay maybe I will then I wonder if he d even want to come| [person:eva f 2-2][person:eva f 5-5][person:harry m 8-8]
josh| Harry enjoys anything that involves food I m sure he d have a good time| [person:harry m 0-0][person:josh m 6-6][person:harry m 9-9]
eva| Yeah but they like strange world cuisine and Harry is more of a meat and potoatoes kind of guy| [person:they g(bryant:harry) 2-2][person:harry m 8-8]
josh| We ll stop by In n Out on the way so he can fill up just in case Maybe I ll get myself a Double Double as well| [person:we g(josh:eva) 0-0][person:harry m 11-11][person:josh m 19-19][person:josh m 22-22]
eva| Okay I ll call the Bryant s and ask if I can invite him| [person:eva f 1-1][person:bryant m 5-5][person:eva f 10-10][person:harry m 13-13]
josh| I m sure they ll be fine with it Okay sounds good| [person:josh m 0-0][person:they g(bryant:harry) 3-3]

conv:people_2019080801_76:aug_0:chat_0:chataug_0| albert evan| [person:albert m 0-0][person:evan m 1-1]
albert| Hey Evan| [person:evan m 1-1]
albert| How are you doing| [person:evan m 2-2]
evan| Pretty well How are you Still coming to town| [person:albert m 4-4][location:town s 8-8]
albert| I am well thank you Yes I am coming next week and I was thinking of getting your parents a gift They have always been good to me| [person:albert m 0-0][person:evan m 4-4][person:albert m 6-6][person:albert m 12-12][person:evan m 17-17][person:parents g() 18-18][person:parents g() 21-21][person:albert m 27-27]
albert| Any ideas on what I can get them| [person:albert m 4-4][person:parents g() 7-7]
evan| Great Well they always have loved New York any little trinkets that you could pick up for Brandon and Theresa they would love I m sure| [person:parents g() 2-2][location:new_york s 6-7][person:albert m 12-12][person:brandon m 17-17][person:theresa f 19-19][person:parents g(brandon:theresa) 20-20][person:evan m 23-23]
albert| Does Brandon like whiskey| [person:brandon m 1-1]
albert| I was thinking whiskey for Brandon and a nice bottle of wine for Theresa| [person:albert m 0-0][person:brandon m 5-5][person:theresa f 13-13]
evan| He sure does| [person:brandon m 0-0]
evan| That would be fantastic They re doing pretty well by the way| [person:parents g(brandon:theresa) 4-4]
albert| Awesome Thank you so much for the help and pass my regards to them| [person:evan m 2-2][person:albert m 10-10][person:parents g(brandon:theresa) 13-13]
evan| Absolutely We re all looking forward to seeing you| [person:we g(evan:brandon:theresa) 1-1][person:albert m 8-8]

conv:people_2019080801_79:aug_0:chat_0:chataug_0| eddie harold| [person:eddie m 0-0][person:harold m 1-1]
harold| hey Eddie| [person:eddie m 1-1]
eddie| Hello Harold how are you| [person:harold m 1-1][person:harold m 4-4]
harold| are you set for the game next week| [person:eddie m 1-1]
eddie| Yeah Aaron informed me he will be available from 6pm| [person:aaron m 1-1][person:eddie m 3-3][person:aaron m 4-4]
harold| The court won t be available at that time|
harold| but we can play at stephan s place as it is available| [person:we g(harold:eddie:aaron) 1-1][person:stephan m 5-5][location:place s 7-7][location:place s 9-9]
eddie| won t that be too far for you| [person:harold m 7-7]
harold| Yeah it s a bit far but i ll try my beat to be there on time| [location:place s 1-1][person:harold m 7-7][person:harold m 10-10][location:place s 14-14]
eddie| Okay then let me inform Aaron| [person:eddie m 3-3][person:aaron m 5-5]
harold| Okay then see you there| [person:eddie m 3-3][location:place s 4-4]
eddie| see you there too| [person:harold m 1-1][location:place s 2-2]

conv:people_2019080801_81:aug_0:chat_0:chataug_0| martin timothy| [person:martin m 0-0][person:timothy m 1-1]
timothy| you Martin what is up homie| [person:martin m 0-0][person:martin m 1-1]
timothy| It ihas been so long|
timothy| i have exciting news| [person:timothy m 0-0]
martin| What is the news|
martin| and whats up I miss you| [person:martin m 3-3][person:timothy m 5-5]
timothy| I am going to be on Jeopardy| [person:timothy m 0-0]
timothy| It is real|
timothy| i Swear| [person:timothy m 0-0]
martin| no way|
martin| I thought I heard that but didn t believe it| [person:martin m 0-0][person:martin m 2-2]
martin| you are as smart as a box of rocks lol| [person:timothy m 0-0]
timothy| I am bringing one person| [person:timothy m 0-0]
timothy| I was hoping it was you| [person:timothy m 0-0][person:martin m 5-5]
timothy| so you can teach me how to learn| [person:martin m 1-1][person:timothy m 4-4]
martin| will do|
martin| I am excited| [person:martin m 0-0]

conv:people_2019080801_83:aug_0:chat_0:chataug_0| jack pete| [person:jack m 0-0][person:pete m 1-1]
jack| Pete what is up homie| [person:pete m 0-0]
pete| Jack my dude| [person:jack m 0-0][person:pete m 1-1]
pete| not much whats up with you| [person:jack m 5-5]
jack| not much|
jack| its been so long since I have seen you| [person:jack m 5-5][person:pete m 8-8]
jack| I am about to play soccer with Philip and Rusell| [person:jack m 0-0][person:philip m 7-7][person:rusell m 9-9]
jack| you want to come| [person:pete m 0-0]
pete| I am not sure I kind of suck at soccer| [person:pete m 0-0][person:pete m 4-4]
pete| but could use the practice|
jack| Come on man|
jack| It will be so fun|
jack| who care if you suck you need to practice and it will be great| [person:pete m 3-3][person:pete m 5-5]
pete| Ok sounds good|
pete| I will be there| [person:pete m 0-0]
pete| thanks for the motivation|

conv:people_2019080801_84:aug_0:chat_0:chataug_0| ellen samantha| [person:ellen f 0-0][person:samantha f 1-1]
ellen| I need you to pick up Patrick and Denise| [person:ellen f 0-0][person:samantha f 2-2][person:patrick m 6-6][person:denise f 8-8]
samantha| That is fine with me| [person:samantha f 4-4]
ellen| Can you take them out| [person:samantha f 1-1][person:them g(patrick:denise) 3-3]
samantha| sure where to|
ellen| Just take them to lunch| [person:them g(patrick:denise) 2-2]
samantha| what do they like| [person:them g(patrick:denise) 2-2]
ellen| They are Italian fans| [person:them g(patrick:denise) 0-0]
samantha| Maybe pizza then|
ellen| Yes that will be good|
samantha| Sure Union Station rightj| [location:station s 2-2]
ellen| Yes that is correct|
samantha| I will get them and take them for pizza| [person:samantha f 0-0][person:them g(patrick:denise) 3-3][person:them g(patrick:denise) 6-6]
ellen| Thanks I am very busy| [person:ellen f 1-1]

conv:people_2019080801_87:aug_0:chat_0:chataug_0| chloe eva| [person:chloe f 0-0][person:eva f 1-1]
eva| Hey Chloe I wanted to host a dinner party tonight Would you be interested| [person:chloe f 1-1][person:eva f 2-2][person:chloe f 11-11]
chloe| Eva you know I am always down to party Who were you thinking to invite| [person:eva f 0-0][person:eva f 1-1][person:chloe f 3-3][person:eva f 11-11]
eva| I was going to invite Tiffany Margaret and Cynthia Are you cool with that| [person:eva f 0-0][person:tiffany f 5-5][person:margaret f 6-6][person:cynthia f 8-8][person:chloe f 10-10]
chloe| Of course I am I love those girls What are you cooking| [person:chloe f 2-2][person:chloe f 4-4][person:eva f 10-10]
eva| That is what I needed to ask you I am not really sure what they like to eat| [person:eva f 3-3][person:chloe f 7-7][person:eva f 8-8][person:girls_to_be_invited g(tiffany:margaret:cynthia) 14-14]
chloe| Tiffany and Cynthia like Italian food the most while Margaret likes Mexican food| [person:tiffany f 0-0][person:cynthia f 2-2][person:margaret f 9-9]
eva| Well I have no issue going half and half on both of those| [person:eva f 1-1]
chloe| Variety is good I can even help you if you d like| [person:chloe f 3-3][person:eva f 7-7][person:eva f 9-9]
eva| Yes That would be great This will be a lot of work|
chloe| Awesome What time should I be there| [person:chloe f 4-4][location:there u 6-6]
eva| Come here at 5 p m We can pre drink as well Hahah| [location:there u 1-1][person:eva_and_chloe g(eva:chloe) 6-6]
chloe| Sounds like an awesome plan to me See you soon| [person:chloe f 6-6][person:eva f 8-8]

conv:people_2019080801_88:aug_0:chat_0:chataug_0| caroline sam| [person:caroline f 0-0][person:sam m 1-1]
sam| Hi caroline| [person:caroline f 1-1]
caroline| Hi sam| [person:sam m 1-1]
sam| I heard you were getting together with Joe| [person:sam m 0-0][person:caroline f 2-2][person:joe m 7-7]
caroline| Yes|
sam| I would like to join you| [person:sam m 0-0][person:caroline f 5-5]
caroline| Sounds good|
sam| I would like my friend Nick to join us as well| [person:sam m 0-0][person:sam m 3-3][person:nick m 4-4][person:nick m 5-5][person:us g(sam:caroline) 8-8]
caroline| Do you think he and Joe would get along| [person:sam m 1-1][person:nick m 3-3][person:joe m 5-5]
sam| Yes I think they would like each other| [person:sam m 1-1][person:they g(joe:nick) 3-3]
caroline| Ok Invite him along| [person:nick m 2-2]
sam| Sounds good Will do|
caroline| Ok See you then| [person:sam m 2-2]
sam| Looking forward to it|
sam| Me too| [person:sam m 0-0]
caroline| Have a good night|
sam| You too| [person:caroline f 0-0]

conv:people_2019080801_89:aug_0:chat_0:chataug_0| abigail sophia| [person:abigail f 0-0][person:sophia f 1-1]
sophia| I can t wait to get to Los Angeles and see you It s been so long| [person:sophia f 0-0][location:los_angeles s 7-8][person:abigail f 11-11]
abigail| I know I m so excited too The whole gang wants to meet you when you re here| [person:abigail f 0-0][person:abigail f 2-2][person:sophia f 13-13][person:sophia f 15-15][location:los_angeles s 17-17]
sophia| That sounds fun Maybe we should plan a dinner| [person:we g(sophia:abigail) 4-4]
abigail| OK I like that idea There will be five of us total| [person:abigail f 1-1][person:us g(sophia:abigail) 10-10]
sophia| Wow Five Who all is going to be there|
abigail| Well the two of us Then Ethan Chloe and Pedro all want to come| [person:us g(sophia:abigail) 4-4][person:ethan m 6-6][person:chloe f 7-7][person:pedro m 9-9]
sophia| OK Do you have any thoughts on where we can go I m hungry from some good sushi| [person:abigail f 2-2][person:us g(sophia:abigail:ethan:chloe:pedro) 8-8][person:sophia f 11-11]
abigail| Well you re in luck I know the best sushi restaurant in Los Angeles| [person:sophia f 1-1][person:abigail f 5-5][location:restaurant s 10-10][location:los_angeles s 12-13]
sophia| I can always count on you to know the best places lol Hopefully everyone else can join us I think tomorrow night would work best| [person:sophia f 0-0][person:abigail f 5-5][location:places g() 10-10][person:everyone g(ethan:chloe:pedro) 13-13][person:we g(sophia:abigail) 17-17][person:sophia f 18-18]
abigail| Oh I just remembered that Ethan won t want to drive that far He hates Los Angeles traffic| [person:abigail f 1-1][person:ethan m 5-5][person:ethan m 13-13][location:los_angeles s 15-16]
sophia| Well I don t want to leave him out Is there somewhere else we can go that s closer to his house| [person:sophia f 1-1][person:ethan m 7-7][location:there u 10-10][person:us g(sophia:abigail:ethan:chloe:pedro) 13-13][person:ethan m 20-20][location:house s 21-21]
abigail| Yep It just happens that the 2nd best sushi place is two blocks from his house lol| [location:place s 9-9][person:ethan m 14-14]
sophia| Perfect That sounds like a great plan|

conv:people_2019080801_90:aug_0:chat_0:chataug_0| noah stella| [person:noah m 0-0][person:stella f 1-1]
stella| Noah I hate to do this to you but I need a favor Can you please help me| [person:noah m 0-0][person:stella f 1-1][person:noah m 7-7][person:stella f 9-9][person:noah m 14-14][person:stella f 17-17]
noah| Stella you know I would do anything for you What can I help you with| [person:stella f 0-0][person:stella f 1-1][person:noah m 3-3][person:stella f 8-8][person:noah m 11-11][person:stella f 13-13]
stella| My parents are visiting her but I am stuck at work and cannot go to pick them up Can you please get them| [person:stella f 0-0][person:parents g() 1-1][person:her f 4-4][person:stella f 6-6][person:parents g() 16-16][person:noah m 19-19][person:parents g() 22-22]
noah| Sure I have no issue with that They are probably hungry What can I buy them| [person:noah m 1-1][person:parents g() 7-7][person:noah m 13-13][person:parents g() 15-15]
stella| George loved American and Italian food while Martha will just about anything| [person:george m 0-0][person:martha f 7-7]
noah| I can get them burgers from Five Guys You can t go wrong with that can also take them to Bronx Burger They have great reviews| [person:noah m 0-0][person:parents g(george:martha) 3-3][person:stella f 8-8][person:parents g(george:martha) 18-18][location:bronx s 20-20][person:parents g(george:martha) 22-22]
stella| Noah you re amazing Either one of those will do I owe you| [person:noah m 0-0][person:noah m 1-1][person:stella f 10-10][person:noah m 12-12]
noah| It is no problem at all You mean a lot to me and I would do anything for you I am excited to meet your parents| [person:stella f 6-6][person:noah m 11-11][person:noah m 13-13][person:stella f 18-18][person:noah m 19-19][person:stella f 24-24][person:parents g(george:martha) 25-25]
stella| Great well let me know when you pick them up I will text you the code to my garage| [person:stella f 3-3][person:noah m 6-6][person:parents g(george:martha) 8-8][person:stella f 10-10][person:noah m 13-13][person:stella f 17-17]
noah| Ok will do I will see you soon| [person:noah m 3-3][person:stella f 6-6]

conv:people_2019080801_91:aug_0:chat_0:chataug_0| judith virginia| [person:judith f 0-0][person:virginia f 1-1]
judith| Hey Virginia| [person:virginia f 1-1]
virginia| I am glad we had them here for us when we moved here| [person:virginia f 0-0][person:we g(judith:virginia) 3-3][person:them g() 5-5][location:here u 6-6][person:we g(judith:virginia) 8-8][person:we g(judith:virginia) 10-10][location:here u 12-12]
judith| I know I don t know what I would have done otherwise| [person:judith f 0-0][person:judith f 2-2][person:judith f 7-7]
virginia| It is nice to see them again at their anniversary| [person:them g() 5-5][person:them g() 8-8]
judith| Yeah I m a bad niece for not seeing them more often| [person:judith f 1-1][person:them g() 9-9]
virginia| Yes I had not talked to them in the last several months| [person:virginia f 1-1][person:them g() 6-6]
judith| It s only a 20 minute train ride away|
judith| Remember how scared we were when we first got here| [person:we g(judith:virginia) 3-3][person:we g(judith:virginia) 6-6][location:here u 9-9]
virginia| we should go see them more often| [person:we g(judith:virginia) 0-0][person:them g() 4-4]
virginia| yes it was frightning|
judith| And Uncle Wayne took us to Yankee Stadium to make us feel better That was so cool| [person:wayne m 2-2][person:we g(judith:virginia) 4-4][location:stadium s 7-7][person:we g(judith:virginia) 10-10]
virginia| yes i remember that the yankees won| [person:virginia f 1-1]
judith| Don t they always haha Well let s hit the bar what do you say| [location:bar s 10-10][person:virginia f 13-13]
virginia| i am all in see you later| [person:virginia f 0-0][person:judith f 5-5]

conv:people_2019080801_92:aug_0:chat_0:chataug_0| david wilson| [person:david m 0-0][person:wilson m 1-1]
david| Hey Wil how you doing| [person:wilson m 3-3]
wilson| David What s up man| [person:david m 0-0]
david| Not much man I wanted to invite you and Mary for lunch to thank you for finding me the apartment| [person:david m 3-3][person:wilson m 7-7][person:mary f 9-9][person:wilson m 14-14][person:david m 17-17]
wilson| Oh man you don t have to do that it was really nothing| [person:david m 2-2]
david| I know I don t have to but I want to Plus you two can see how nice the place looks now| [person:david m 0-0][person:david m 2-2][person:david m 8-8][person:wilson m 12-12]
wilson| Alright but nothing fancy Plus you know I work late and Mary is taking a class on Saturdays| [person:david m 5-5][person:wilson m 7-7][person:mary f 11-11]
david| What about after her class What time does it end| [person:mary f 3-3]
wilson| She usually gets home around 1pm| [person:mary f 0-0]
david| Ok so it ll be a late lunch Come over around 2pm I ll cook some pasta and we ll have a nice bottle of wine nothing fancy| [person:david m 12-12][person:we g(david:wilson:mary) 18-18]
wilson| Hmm that does sound good Let me tell Mary and I ll confirm this afternoon ok| [person:wilson m 6-6][person:mary f 8-8][person:wilson m 10-10]
david| Alright sure But tell her I won t take no for an answer| [person:mary f 4-4][person:david m 5-5]
wilson| Will do Speak to you later| [person:david m 4-4]
david| Later|

conv:people_2019080801_93:aug_0:chat_0:chataug_0| adam ben| [person:adam m 0-0][person:ben m 1-1]
ben| Adam I miss you so much| [person:adam m 0-0][person:ben m 1-1][person:adam m 3-3]
adam| Adam whats up| [person:adam m 0-0]
adam| lets hang out soon it has been too long|
ben| I agree| [person:ben m 0-0]
ben| I heard Dnaiel and Robert are planning to go on a trip| [person:ben m 0-0][person:robert m 4-4]
ben| to the movies|
adam| I heard that too| [person:adam m 0-0]
adam| Douglas wants to go and Robert said yea but I am not sure anymore| [person:douglas m 0-0][person:robert m 5-5][person:adam m 9-9]
ben| yea i was worried that would happen| [person:ben m 1-1]
ben| lets not let it get to us though| [person:us g(ben:adam) 6-6]
ben| lets go to a good movie|
ben| what do you say| [person:adam m 2-2]
adam| OK I will get over it as long as you sit by me| [person:adam m 1-1][person:ben m 9-9][person:adam m 12-12]
adam| deal|

conv:people_2019080801_94:aug_0:chat_0:chataug_0| christian rafael| [person:christian m 0-0][person:rafael m 1-1]
christian| Hey Rafael| [person:rafael m 1-1]
rafael| Yeah what is going on|
christian| I was thinking where we should invite Jose Benjamin Harry and Steve| [person:christian m 0-0][person:we g(christian:rafael) 4-4][person:jose m 7-7][person:benjamin m 8-8][person:harry m 9-9][person:steve m 11-11]
rafael| Same here I was thinking the same thing as well| [person:rafael m 2-2]
christian| Where do you think is the best place to invite them| [person:rafael m 2-2][location:place s 7-7][person:them g(jose:benjamin:harry:steve) 10-10]
rafael| I am not sure When are they coming to town| [person:rafael m 0-0][person:them g(jose:benjamin:harry:steve) 6-6][location:town s 9-9]
christian| They get here by next Friday| [person:them g(jose:benjamin:harry:steve) 0-0][location:town s 2-2]
rafael| Great I think we should take them out to Venice Beach and later to meet with everyone at your birthday| [person:rafael m 1-1][person:we g(christian:rafael) 3-3][person:them g(jose:benjamin:harry:steve) 6-6][location:beach s 10-10][person:christian m 18-18]
christian| Right I think that is a great idea| [person:christian m 1-1]
rafael| I think we should do that It will be great for Jose Benjamin Harry and Steve| [person:rafael m 0-0][person:we g(christian:rafael) 2-2][person:jose m 11-11][person:benjamin m 12-12][person:harry m 13-13][person:steve m 15-15]
christian| That way they can all meet the family again It has been a long time since we all met each other| [person:them g(jose:benjamin:harry:steve) 2-2][person:family g() 7-7][person:we g(christian:rafael:jose:benjamin:harry:steve) 16-16]

conv:people_2019080801_95:aug_0:chat_0:chataug_0| caroline shirley| [person:caroline f 0-0][person:shirley f 1-1]
caroline| hello caroline| [person:caroline f 1-1]
shirley| hey shirley what is up| [person:shirley f 1-1]
shirley| We going to Boston or what| [person:we g(caroline:shirley) 0-0][location:boston s 3-3]
caroline| heck yea|
caroline| we started planning| [person:we g(caroline:shirley) 0-0]
caroline| it wasn t for nothing|
shirley| that is what i like to hear I heard Heather visited Boston and loved it| [person:shirley f 3-3][person:shirley f 7-7][person:heather f 9-9][location:boston s 11-11]
shirley| I will ask her what her favorite thing was| [person:shirley f 0-0][person:heather f 3-3][person:heather f 5-5]
caroline| that sounds so good to me| [person:caroline f 5-5]
caroline| let get something in the books|
caroline| what do you say| [person:shirley f 2-2]
shirley| There is so much history there| [location:boston s 5-5]
shirley| lets visit it all|

conv:people_2019080801_97:aug_0:chat_0:chataug_0| alan sophia| [person:alan m 0-0][person:sophia f 1-1]
alan| Hi Sophia I can t wait for my party| [person:sophia f 1-1][person:alan m 2-2][person:alan m 7-7]
alan| Can you contact Chloe and see if she made the reservation I asked her to| [person:sophia f 1-1][person:chloe f 3-3][person:chloe f 7-7][person:alan m 11-11][person:chloe f 13-13]
sophia| Sure hasn t she gotten in touch with you about it| [person:chloe f 3-3][person:alan m 8-8]
alan| No I haven t heard back from her in a week| [person:alan m 1-1][person:chloe f 7-7]
sophia| I m going to meet her right now I ll ask her| [person:sophia f 0-0][person:chloe f 5-5][person:sophia f 8-8][person:chloe f 11-11]
alan| Great tell her that I said hi to her| [person:chloe f 2-2][person:alan m 4-4][person:chloe f 8-8]
sophia| Sure she says hi back She said she left her phone at home so she couldn t call you| [person:chloe f 1-1][person:chloe f 5-5][person:chloe f 7-7][person:chloe f 9-9][location:home s 12-12][person:chloe f 14-14][person:alan m 18-18]
alan| Oh that makes sense Did she make the reservation| [person:chloe f 5-5]
sophia| Yes she made the reservation for the party| [person:chloe f 1-1]
alan| That is terrific I can t wait for the party| [person:alan m 3-3]
sophia| Me too I can t wait for the party as well It is exciting| [person:sophia f 0-0][person:sophia f 2-2]

conv:people_2019080801_98:aug_0:chat_0:chataug_0| angela noah| [person:angela f 0-0][person:noah m 1-1]
noah| hello Angela| [person:angela f 1-1]
angela| hello Noah how was your day| [person:noah m 1-1][person:noah m 4-4]
noah| my day was great how about you| [person:noah m 0-0][person:angela f 6-6]
angela| Was good How are we going to go about the gardening issue| [person:we g(noah:angela) 4-4]
noah| I feel we should talk to Laura for some Gardening tips| [person:noah m 0-0][person:we g(noah:angela) 2-2][person:laura f 6-6]
angela| Yeah that was my thought too but you know we are still new here and we ain t close to the Anderson s| [person:angela f 3-3][person:noah m 7-7][person:we g(noah:angela) 9-9][person:we g(noah:angela) 15-15][person:anderson u 21-21]
noah| We can give it a try and see if Laura will help us| [person:we g(noah:angela) 0-0][person:laura f 9-9][person:us g(noah:angela) 12-12]
angela| Lets approach her and see if she will share any tips| [person:laura f 2-2][person:laura f 6-6]
noah| Lets be positive i know she will help us out| [person:noah m 3-3][person:laura f 5-5][person:us g(noah:angela) 8-8]
angela| How do we make the first move| [person:we g(noah:angela) 2-2]
noah| we can befriend her Laura first| [person:we g(noah:angela) 0-0][person:laura f 3-3][person:laura f 4-4]
angela| that s a good idea let me see if it will work| [person:angela f 6-6]

conv:people_2019080801_99:aug_0:chat_0:chataug_0| danielle stephanie| [person:danielle f 0-0][person:stephanie f 1-1]
danielle| Hey Stephanie| [person:stephanie f 1-1]
stephanie| Hey Danielle You excited for the Smith s dinner| [person:danielle f 1-1][person:danielle f 2-2][person:smith m 6-6]
danielle| You bet Do you think we should bring something to the dinner| [person:stephanie f 0-0][person:stephanie f 3-3][person:we g(danielle:stephanie) 5-5]
stephanie| How about some beer for the drinks and pastries for a dessert|
danielle| Sounds good What kind of beer does Tom and Leslie enjoy| [person:tom m 7-7][person:leslie f 9-9]
stephanie| I m pretty sure they love Dogfish Head IPA so let s get that How about pastries though| [person:stephanie f 0-0][person:they g(tom:leslie) 4-4]
danielle| We could get those famous assorted eclairs from that bakery we went to over in the downtown area| [person:we g(danielle:stephanie) 0-0][location:bakery s 9-9][person:we g(danielle:stephanie) 10-10][location:downtown s 16-16]
stephanie| Yes that would be perfect I might not have time after work though to get ready as well as get the pasties Do you mind getting them| [person:stephanie f 5-5][person:danielle f 23-23][person:they g(tom:leslie) 26-26]
danielle| Of course not I ll get the pastries then and we can just get the beer at the liquor store on the way to the Smith s house| [person:danielle f 3-3][person:we g(danielle:stephanie) 10-10][person:smith m 25-25]
stephanie| Okay that s the plan then you ll grab the pastries and we ll grab the beer together Thanks again| [person:danielle f 6-6][person:we g(danielle:stephanie:smith:tom:leslie) 12-12]
danielle| Yeah sure it s no problem Stephanie and just in case they don t have that particular beer I m sure we can get another IPA since we know they like that type of beer| [person:stephanie f 6-6][person:they g(tom:leslie) 11-11][person:danielle f 18-18][person:we g(danielle:stephanie) 21-21][person:we g(danielle:stephanie) 27-27][person:they g(tom:leslie) 29-29]
stephanie| Okay I ll see you soon then I can t wait for the dinner Bye| [person:stephanie f 1-1][person:danielle f 4-4][person:stephanie f 7-7]

conv:people_2019080801_101:aug_0:chat_0:chataug_0| brittany patricia| [person:brittany f 0-0][person:patricia f 1-1]
patricia| Hello|
patricia| Whats up Brittany| [person:brittany f 2-2]
brittany| Nothing much Patricia How are you| [person:patricia f 2-2][person:patricia f 5-5]
patricia| So Im visiting with Margaret Mary ans Suzie and wondered if you have any reccomendations on where we should go and what we should do| [person:margaret f 4-4][person:mary f 5-5][person:brittany f 11-11][person:we g(patricia:margaret:mary) 17-17][person:we g(patricia:margaret:mary) 22-22]
brittany| What types of activities do you enjoy doing| [person:we g(patricia:margaret:mary) 5-5]
patricia| Margaret and Suzie like to go wine tasting and Mary likes live concerts| [person:margaret f 0-0][person:mary f 9-9][location:concerts g() 12-12]
patricia| Im up for whatever|
brittany| I think the free live concert tonight is a great place to visit then It has many different stalls including those that sell wine| [person:brittany f 0-0][location:concert s 5-5][location:concert s 10-10][location:concert s 14-14]
patricia| That sounds wonderful Thank you so much Maybe we will drop in on you| [person:brittany f 4-4][person:we g(patricia:margaret:mary) 8-8][person:brittany f 13-13]
brittany| The concert is at the park right by my place| [location:concert s 1-1][location:park s 5-5][person:brittany f 8-8][location:place s 9-9]
brittany| I might drop by as well if I m free| [person:brittany f 0-0][person:brittany f 7-7]
patricia| Excellent We will hopefully see you there| [person:we g(patricia:margaret:mary) 1-1][person:brittany f 5-5][location:concert s 6-6]
brittany| Sure Patricia I m so glad you ve come to visit with you friends Talk to you later| [person:patricia f 1-1][person:brittany f 2-2][person:patricia f 6-6][person:patricia f 12-12][person:friends g(margaret:mary) 13-13][person:patricia f 16-16]
patricia| Love you Take care hon| [person:brittany f 1-1]

conv:people_2019080801_102:aug_0:chat_0:chataug_0| pedro willie| [person:pedro m 0-0][person:willie m 1-1]
pedro| Hey Willie so which movie do you want to watch tonight| [person:willie m 1-1][person:willie m 6-6]
willie| I was thinking the new Seth Rogen movie Long Shot What do you think| [person:willie m 0-0][person:pedro m 12-12]
pedro| Yeah I m down the trailer looked pretty good| [person:pedro m 1-1]
willie| Cool Should we tell Carlos and John| [person:we g(pedro:willie) 2-2][person:carlos m 4-4][person:john m 6-6]
pedro| Carlos sure John always wants to watch horror movies he ll either make us change our plans or be miserable| [person:carlos m 0-0][person:john m 2-2][person:john m 9-9][person:us g(pedro:willie:carlos) 13-13][person:us g(pedro:willie:carlos) 15-15]
willie| Yes you are right Are there even any good horror movies playing now| [person:pedro m 1-1]
pedro| I think La Llorona is still playing but I don t feel like watching that I d rather stick with the comedy| [person:pedro m 0-0][person:pedro m 8-8][person:pedro m 15-15]
willie| Alright then I ll just ask Carlos 9pm good with you| [person:willie m 2-2][person:carlos m 6-6][person:pedro m 10-10]
pedro| 9pm works for me I ll ask him since I have to speak to him about something else anyway I ll get back to you shortly| [person:pedro m 3-3][person:pedro m 4-4][person:carlos m 7-7][person:pedro m 9-9][person:carlos m 14-14][person:pedro m 19-19][person:willie m 24-24]
willie| Alright let me know what he says Talk to you later| [person:willie m 2-2][person:carlos m 5-5][person:pedro m 9-9]

conv:people_2019080801_103:aug_0:chat_0:chataug_0| kevin walt| [person:kevin m 0-0][person:walt m 1-1]
walt| Hi|
