conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
susan| That sounds lovely thank you I ll give them your number| [location:lunch s 0-0][person:jacqueline f 4-4][person:susan f 5-5][person:frank___katherine g(frank:katherine) 8-8][person:jacqueline f 9-9]

conv:people_2019090101_368:aug_0:chat_0:chataug_0| kevin tim| [person:kevin m 0-0][person:tim m 1-1]
tim| Hey Kev So Howard and Alex are coming through to my place and then we re going to go watch the Superbowl| [person:howard m 3-3][person:alex m 5-5][person:tim m 10-10][location:my_place s 10-11][location:place s 11-11][person:we g(tim:howard:alex) 14-14]
tim| I was going to invite you to come with us and also ask you if you know any good places they re showing it| [person:tim m 0-0][person:kevin m 5-5][location:us g() 9-9][person:kevin m 13-13][person:kevin m 15-15][location:places g() 19-19][person:they g() 20-20]
kevin| I am down to go I had some others that I may invite as well if that s okay And I know Applebees the one near here has a huge viewing area with an open bar| [person:kevin m 0-0][person:kevin m 5-5][person:others g() 8-8][person:kevin m 10-10][person:kevin m 20-20][location:applebees s 22-22][location:place s 26-26][location:applebees s 35-35]
tim| That sounds perfect actually I was thinking about that or going to a bar in Downtown But that sounds good if you say so| [person:tim m 4-4][location:places g() 13-13][location:downtown s 15-15][person:kevin m 21-21]
kevin| I went there for one of the games and it was super lit| [person:kevin m 0-0][location:downtown s 2-2]
kevin| They have beer on tap and have the best burgers and hot dogs|
tim| Alright I ve never been but I m excited I ll let Alex and Howard know about the plan then| [person:tim m 1-1][person:tim m 6-6][person:tim m 9-9][person:alex m 12-12][person:howard m 14-14]
kevin| I can t wait to meet them It s going to be the best day for the boys| [person:kevin m 0-0][person:them g(howard:alex) 6-6][person:boys g(tim:kevin:howard:alex) 17-17]
tim| I know I am super psyched I ll hit you up in a bit for plans before and after the Bowl| [person:tim m 0-0][person:tim m 2-2][person:tim m 6-6][person:kevin m 9-9]
kevin| Sounds good pal Can t wait|

conv:people_2019090101_369:aug_0:chat_0:chataug_0| kimberly madison| [person:kimberly f 0-0][person:madison f 1-1]
madison| What about our breakfast with the Clarks Joseph and Samanta| [person:kimberly f 2-2][person:madison f 7-7]
kimberly| It will not work I have told Joseph about that there is some difficulties| [person:kimberly f 4-4][person:madison f 7-7]
madison| Ok fine|
kimberly| Then what will be done instead next week|
madison| You think about something| [person:kimberly f 0-0]
kimberly| Shall we go for an outing| [person:madison f 1-1]
madison| Thats a good idea Do you have any destination in mind| [person:madison f 5-5]
kimberly| I think we can drive to California| [person:madison f 0-0][person:madison f 2-2][location:california s 6-6]
madison| Good idea there are lot of destinations on the way| [location:california s 2-2]
kimberly| Can we take the Clarks along with us| [person:kimberly f 1-1][person:madison f 7-7]
madison| Why not you invite| [person:madison f 2-2]

conv:people_2019090101_370:aug_0:chat_0:chataug_0| carol judith| [person:carol f 0-0][person:judith f 1-1]
judith| hai carol i plan a dinner this week end come along with our friends Victoria Lara and Kelly| [person:carol f 1-1][person:judith f 2-2][person:our g(judith:carol) 12-12][person:friends g() 13-13][person:victoria f 14-14][person:lara f 15-15][person:kelly f 17-17]
carol| oh Judith such a good news whether our friends Victoria Lara and Kelly confirm their visit| [person:judith f 1-1][person:our g(judith:carol) 7-7][person:friends g(victoria:lara:kelly) 8-8][person:victoria f 9-9][person:lara f 10-10][person:kelly f 12-12]
judith| Yes of course carol We will enjoy this week end at our home Tell me what kind of food each one like| [person:carol f 3-3][person:our g(judith:carol) 4-4][person:our g(judith:carol) 11-11][location:home s 12-12][person:judith f 14-14]
carol| I think Victoria and Kelly like Italian food and Lara likes pizza variety| [person:carol f 0-0][person:victoria f 2-2][person:kelly f 4-4][person:lara f 9-9]
judith| ok what about you what is your favourite| [person:carol f 3-3][person:carol f 6-6]
carol| my favourite dish is chinese and Italian| [person:carol f 0-0]
judith| ok carol i will order foods in each variety and some bread variety so that every one likes it| [person:carol f 1-1][person:judith f 2-2]
carol| ok judith that is a nice idea you order some softdrinks so that everyone like it| [person:judith f 1-1][person:judith f 7-7][person:everyone g(judith:carol:victoria:lara:kelly) 13-13]
judith| come early carol so that if i missed something then you can review it| [person:carol f 2-2][person:judith f 6-6][person:carol f 10-10]
carol| ok then i will not miss this wonderful visit| [person:carol f 2-2]
judith| bye for now|

conv:people_2019090101_372:aug_0:chat_0:chataug_0| kelly sandra| [person:kelly f 0-0][person:sandra f 1-1]
kelly| You ve been to Vegas haven t you| [person:sandra f 0-0][location:vegas s 4-4][person:sandra f 7-7]
sandra| Yes I have Why what s up| [person:sandra f 1-1]
kelly| I m going to Vegas in a couple weeks with Rachel and Carolyn| [person:kelly f 0-0][location:vegas s 4-4][person:rachel f 10-10][person:carolyn f 12-12]
sandra| Ooh that sounds like fun|
kelly| What are the best casinos to gamble at We like slot machines the most| [location:vegas g() 4-4][person:we g(kelly:rachel:carolyn) 8-8]
sandra| Mandalay Bay has a great selection of slot machines| [location:vegas s 0-1]
kelly| Awesome I think that s where we are staying What about food Where are the best buffets| [person:kelly f 1-1][person:we g(kelly:rachel:carolyn) 6-6]
sandra| The buffet at Treasure Island is definitely the best on the strip| [location:vegas s 1-4][location:vegas s 11-11]
kelly| Great I really appreciate it| [person:kelly f 1-1][location:vegas s 4-4]
sandra| Not a problem You guys have a great time| [person:we g(kelly:rachel:carolyn) 3-3]

conv:people_2019090101_373:aug_0:chat_0:chataug_0| jim zachary| [person:jim m 0-0][person:zachary m 1-1]
jim| Hi Zachary Hey would you like to go to a show tomorrow| [person:zachary m 1-1][person:zachary m 4-4]
zachary| Sure Can we invite Brittany and Eric along I m supposed to make plans with them too| [person:jim___zachary g(jim:zachary) 2-2][person:brittany f 4-4][person:eric m 6-6][person:zachary m 8-8]
jim| Sure that sounds fun Which theater should we go to| [person:entire_group g(jim:zachary:brittany:eric) 7-7]
zachary| Well the one on Market Street is really big but the one on Third Ave is near you| [location:street s 5-5][person:jim m 17-17]
jim| I ll be coming there from somewhere else What about Britanny and Eric| [person:jim m 0-0][location:street s 4-4][person:eric m 12-12]
zachary| I think they like the one on Market it has nice seats and good snacks| [person:zachary m 0-0][person:brittany___eric g(brittany:eric) 2-2][location:it s 8-8]
jim| Yeah and it has the most shows to choose from| [location:it s 2-2]
zachary| Alright Market Street it is then| [location:street s 2-2]
jim| Since you know that one can you make a reservation| [person:zachary m 1-1][person:zachary m 6-6]
zachary| No problem I can get us all a discount| [person:zachary m 2-2][person:entire_group g(jim:zachary:brittany:eric) 5-5]

conv:people_2019090101_374:aug_0:chat_0:chataug_0| bill lawrence| [person:bill m 0-0][person:lawrence m 1-1]
bill| Hi How are you doing| [person:lawrence m 3-3]
lawrence| I am good Thanks How about you| [person:lawrence m 0-0][person:bill m 6-6]
bill| Good too cheers|
bill| Shall we go for new movie tonight which released yesterday| [person:we g(bill:lawrence) 1-1]
lawrence| Yes I agree we can go Please book a ticket| [person:lawrence m 1-1][person:we g(bill:lawrence) 3-3]
bill| are you OK with noon show| [person:lawrence m 1-1]
lawrence| Yep I am ok with any show tomorrow since i do not have any work tomorrow| [person:lawrence m 1-1][person:lawrence m 9-9]
bill| Can we include two of our friend| [person:we g(bill:lawrence) 1-1][person:we g(bill:lawrence) 5-5][person:friend u 6-6]
lawrence| Yes please then we have more fun| [person:we g(bill:lawrence) 3-3]
bill| I ve included two of our friends who is staying near to us we all together can go today noon| [person:bill m 0-0][person:we g(bill:lawrence) 5-5][person:friend u 6-6][person:we g(bill:lawrence) 12-12][person:we g(bill:lawrence:friend) 13-13]
lawrence| Thanks cheers will meet you noon| [person:bill m 4-4]

conv:people_2019090101_375:aug_0:chat_0:chataug_0| amanda janice| [person:amanda f 0-0][person:janice f 1-1]
amanda| Hey Janice what s up| [person:janice f 1-1]
janice| Nothing much Amanda how are you| [person:amanda f 2-2][person:janice f 5-5]
amanda| Good I m visiting St Louis with my friends Caroline and Ann| [person:amanda f 1-1][location:st__louis s 4-5][person:amanda f 7-7][person:friends g() 8-8][person:caroline f 9-9][person:ann f 11-11]
janice| Oh great I m from Los Angeles That s not too far| [person:janice f 2-2][location:los_angeles s 5-6]
amanda| We were looking for some things to do| [person:we g(amanda:caroline:ann) 0-0]
janice| Okay what are you Caroline and Ann interested in| [person:amanda f 3-3][person:caroline f 4-4][person:ann f 6-6]
amanda| We like shopping beaches and Spa s a lot Do you have any recommendations| [person:we g(amanda:caroline:ann) 0-0][location:beaches g() 3-3][person:janice f 10-10]
janice| Well you should definitely check out the mall I think you guys would really like it It s one of the best in the state| [person:amanda f 1-1][location:mall s 7-7][person:janice f 8-8][person:we g(amanda:caroline:ann) 10-10][location:mall s 15-15][location:mall s 16-16][location:state s 24-24]
amanda| That sounds awesome thanks I will definitely check it out| [person:amanda f 4-4][location:mall s 8-8]
janice| No worries Let me know if you guys need anything else| [person:janice f 3-3][person:we g(amanda:caroline:ann) 6-6]

conv:people_2019090101_376:aug_0:chat_0:chataug_0| bob malcolm| [person:bob m 0-0][person:malcolm m 1-1]
malcolm| Hi Bill and Timothy are coming to town and I m so excited| [location:bill s 1-1][location:timothy s 3-3][location:town s 7-7][person:malcolm m 9-9]
bob| Oh that s great Where are you going to take them| [person:malcolm m 6-6][person:them g(bill:timothy) 10-10]
malcolm| I was wondering if you could help me out by showing them around town| [person:malcolm m 0-0][person:bob m 4-4][person:malcolm m 7-7][person:them g(bill:timothy) 11-11][location:town s 13-13]
bob| Sure that would be fun What are their interests| [person:their g(bill:timothy) 7-7]
malcolm| They seem to like opera Can you take them to a show| [person:they g(bill:timothy) 0-0][person:bob m 6-6][person:them g(bill:timothy) 8-8][location:show s 11-11]
bob| That s one of my favorites too I d be happy to| [person:bob m 4-4][person:bob m 7-7]
malcolm| Thanks so much They also like baseball if you want to catch a game with them| [person:they g(bill:timothy) 3-3][person:bob m 8-8][person:them g(bill:timothy) 15-15]
bob| That s another favorite of mine too Thanks| [person:bob m 5-5]
malcolm| Thanks to you Bob| [person:bob m 2-2][person:bob m 3-3]
bob| No problem I m looking forward to getting out and about in town| [person:bob m 2-2][location:town s 12-12]

conv:people_2019090101_377:aug_0:chat_0:chataug_0| sean tony| [person:sean m 0-0][person:tony m 1-1]
sean| Hello Tony| [person:tony m 1-1]
tony| Hello Sean| [person:sean m 1-1]
sean| You remember about the match right| [person:tony m 0-0][location:match s 4-4]
tony| Yeah Actually I wanted to tell you that Timothy told me that he can make it only after 6 pm| [person:tony m 2-2][person:sean m 6-6][person:timothy m 8-8][person:tony m 10-10][person:timothy m 12-12][location:match g() 15-15]
sean| That is bad news because the court is not available at that time| [location:court s 6-6]
tony| That is indeed bad so where can we play then| [location:where s 5-5][person:we g(sean:tony:timothy) 7-7]
sean| Well we can go to the court next to the main stadium| [person:we g(sean:tony:timothy) 1-1][location:stadium s 11-11]
tony| You need to book weeks on advance there so it is impossible to have it available in such late notice| [person:sean m 0-0][location:stadium s 7-7][location:stadium s 9-9]
sean| You are right Where to then| [person:tony m 0-0]
tony| How about the one next to the basketball stadium| [location:stadium s 8-8]
sean| That one has bad quality| [location:one s 1-1]
tony| What do we do then| [person:we g(sean:tony:timothy) 2-2]
sean| We can go to the Vincent s one even though it is a bit far for you| [person:we g(sean:tony:timothy) 0-0][person:vincent m 5-5][location:vincent_s s 10-10][person:tony m 16-16]
tony| It is a bit far but it s okay Vincent s it is then| [location:vincent_s s 0-0][location:vincent_s s 6-6][person:vincent m 9-9][location:vincent_s s 11-11]
sean| Alright can t wait for us to play together| [person:we g(sean:tony:timothy) 5-5]
tony| Yeah me too| [person:tony m 1-1]

conv:people_2019090101_378:aug_0:chat_0:chataug_0| chloe larry| [person:chloe f 0-0][person:larry m 1-1]
chloe| Hey Larry you know who s in town| [person:larry m 1-1][person:larry m 2-2][location:town s 7-7]
larry| Who s in town Someone from our school days| [location:town s 3-3][person:someone u 4-4][person:our g(chloe:larry) 6-6][location:school s 7-7]
chloe| You got it It s Paul He finally decided to visit| [person:larry m 0-0][location:dinner s 2-2][location:dinner s 3-3][person:paul m 5-5][person:paul m 6-6]
larry| Awesome I haven t seen Paul in a long time| [person:larry m 1-1][person:paul m 5-5]
chloe| You should join us for dinner on Saturday| [person:larry m 0-0][location:us g() 3-3][location:dinner s 5-5]
larry| That would be great But my friend Jeff is also in town Is it okay if Jeff comes too| [person:larry m 5-5][person:jeff m 6-6][person:jeff m 7-7][location:town s 11-11][location:dinner s 13-13][person:jeff m 16-16]
chloe| I don t see why not| [person:chloe f 0-0]
larry| Do you think it would be awkward for Jeff| [person:chloe f 1-1][location:dinner s 3-3][person:jeff m 8-8]
chloe| Not at all Paul loves meeting new people| [person:paul m 3-3]
larry| Yeah that s true Paul s good with everyone| [person:paul m 4-4][person:everyone g() 8-8]
chloe| Then let s all meet for dinner It ll be fun| [location:dinner s 6-6][location:dinner s 7-7]
larry| Dinner for Saturday then| [location:dinner s 0-0]

conv:people_2019090101_379:aug_0:chat_0:chataug_0| andy carol| [person:andy m 0-0][person:carol f 1-1]
carol| Have Madison Maria Matt and Jim all confirmed| [person:madison f 1-1][person:maria f 2-2][person:matt m 3-3][person:jim m 5-5]
andy| They are all a yes for breakfast| [person:they g(madison:maria:matt:jim) 0-0]
carol| Okay great What should we make I know Maria is allergic to nuts| [person:we g(carol:andy) 4-4][person:carol f 6-6][person:maria f 8-8]
andy| Oh she is I will be careful then How about scrambled eggs with smoked trout dill and capers| [person:maria f 1-1][person:andy m 3-3]
carol| Yum that sounds great i could also make some blueberry pikelets| [person:carol f 4-4]
andy| Matt and Jim both hate blueberries| [person:matt m 0-0][person:jim m 2-2]
carol| They are fussy lol Okay raspberry pancakes it is then What ingredients do we need| [person:they2 g(matt:jim) 0-0][person:we g(carol:andy) 13-13]
andy| We need more eggs and capers And fresh raspberries| [person:we g(carol:andy) 0-0]
carol| Could you pick up raspberries on your way home from work| [person:andy m 1-1][person:andy m 6-6][location:home s 8-8]
andy| Yes i can Can you get the eggs and capers at the store| [person:andy m 1-1][person:carol f 4-4][location:store s 12-12]

conv:people_2019090101_380:aug_0:chat_0:chataug_0| bruce harold| [person:bruce m 0-0][person:harold m 1-1]
bruce| what should we bring to movie night| [person:we g(bruce:harold) 2-2]
harold| i don t know the Rangers that much what do you think| [person:harold m 0-0][person:rangers g() 5-5][person:harold m 10-10]
bruce| i m not really sure what kind of food would you think they would like| [person:bruce m 0-0][person:harold m 10-10][person:rangers g() 12-12]
harold| i don t know nachos and avocado seems like a safe option| [person:harold m 0-0]
bruce| they might already have that though| [person:rangers g() 0-0]
bruce| maybe you should ask Timothy he knows the Rangers better than we do| [person:bruce m 1-1][person:timothy m 4-4][person:timothy m 5-5][person:rangers g() 8-8][person:we g(bruce:harold) 11-11]
harold| good idea i didn t think of that| [person:harold m 2-2]
bruce| it shouldn t hurt to ask|
harold| Timothy just told me that they re vegan| [person:timothy m 0-0][person:harold m 3-3][person:rangers g() 5-5]
bruce| well that changes everything we can just bring some nachos and avocado then| [person:we g(bruce:harold) 4-4]
harold| yeah that should be fine|

conv:people_2019090101_382:aug_0:chat_0:chataug_0| aaron ryan| [person:aaron m 0-0][person:ryan m 1-1]
aaron| Ryan when are you available for lunch| [person:ryan m 0-0][person:ryan m 3-3]
ryan| I will be available at 1230 pm| [person:ryan m 0-0]
aaron| Ok lets grab some lunch together|
ryan| Sure do you mind if i invite Louis and Nick| [person:aaron m 2-2][person:ryan m 5-5][person:louis m 7-7][person:nick m 9-9]
aaron| Yea why not lets invite them to the lunch| [person:them g(louis:nick) 5-5]
ryan| But i know Nick is a little picky on what to eat| [person:ryan m 1-1][person:nick m 3-3]
aaron| Oh yeah i heard that too| [person:aaron m 2-2]
ryan| I know he has strong preference for Asian food do you mind eating asian cusine| [person:ryan m 0-0][person:nick m 2-2][person:aaron m 10-10]
aaron| oh not at all I love Asian Cusine| [person:aaron m 4-4]
ryan| Ok what about Thai Cottage|
aaron| Thai Cottage sounds delicious|
ryan| Perfect i will invite them and we will all meet at Thai Cottage| [person:ryan m 1-1][person:them g(louis:nick) 4-4][person:we g(aaron:ryan:louis:nick) 6-6]
aaron| Great i will see you all there| [person:aaron m 1-1][person:ryan m 4-4][location:thai_cottage s 6-6]
ryan| See you later| [person:aaron m 1-1]

conv:people_2019090101_383:aug_0:chat_0:chataug_0| bobby lawrence| [person:bobby m 0-0][person:lawrence m 1-1]
bobby| I m super excited about the game today| [person:bobby m 0-0][location:game s 6-6]
lawrence| Me too for sure Don t forget Larry and Robert are gonna watch with us| [person:lawrence m 0-0][person:larry m 7-7][person:robert m 9-9][person:us g(bobby:lawrence) 14-14]
bobby| Oh yeah Have you thought about where we should go| [person:lawrence m 3-3][person:we g(bobby:lawrence) 7-7]
lawrence| We should do something halfway between the four of us I think| [person:we g(bobby:lawrence) 0-0][location:halfway s 4-4][person:us g(bobby:lawrence) 9-9][person:lawrence m 10-10]
bobby| I agree I m just trying to think of where would be good| [person:bobby m 0-0][person:bobby m 2-2][location:where s 9-9]
lawrence| There aren t a lot of great places I can think of offhand| [location:there s 0-0][location:places g() 7-7][person:lawrence m 8-8]
bobby| Me either It just has to be someplace with good food| [person:bobby m 0-0][location:it s 2-2][location:someplace s 7-7]
lawrence| Yeah I like burgers you know that| [person:lawrence m 1-1][person:bobby m 4-4]
bobby| Yeah pretty much every place has burgers I like pizza| [location:place s 4-4][person:bobby m 7-7]
lawrence| Me too And wings would be good| [person:lawrence m 0-0]
bobby| We should call them and see what they suggest too| [person:we g(bobby:lawrence) 0-0][person:them g(larry:robert) 3-3][person:they g(larry:robert) 7-7]

conv:people_2019090101_384:aug_0:chat_0:chataug_0| anthony carlos| [person:anthony m 0-0][person:carlos m 1-1]
anthony| Do you want to meet for drinks tomorrow| [person:carlos m 1-1][location:meet s 4-4]
carlos| Yes keen to catch up haven t seen you for ages| [person:anthony m 8-8]
anthony| Where should we go| [location:where s 0-0][person:we g(anthony:carlos) 2-2]
carlos| I was thinking Ricky s Can I invite Jill and Eduardo too They are keen to see you| [person:carlos m 0-0][person:ricky m 3-3][person:carlos m 6-6][person:jill f 8-8][person:eduardo m 10-10][person:they g(jill:eduardo) 12-12][person:anthony m 17-17]
anthony| Ricky s has trivia right What about Frida s I think its kareoke night tomorrow| [person:ricky m 0-0][person:anthony m 9-9]
carlos| Jill would love that she s been going to sining lessons| [person:jill f 0-0][person:jill f 4-4]
anthony| That s so cool of her Okay Frida s is a good pick Can you book us a table| [person:jill f 5-5][person:carlos m 14-14][person:us g(anthony:carlos:jill:eduardo) 16-16]
carlos| Yep sure can I ll text jill and Eduardo too and confirm with them| [person:carlos m 3-3][person:jill f 6-6][person:eduardo m 8-8][person:them g(carlos:jill:eduardo) 13-13]
anthony| It will be nice to see you and them as well| [person:carlos m 6-6][person:them g(jill:eduardo) 8-8]
carlos| I feel like we all have a lot to catch up on| [person:carlos m 0-0][person:we g(carlos:jill:eduardo) 3-3]

conv:people_2019090101_385:aug_0:chat_0:chataug_0| alexander malcolm| [person:alexander m 0-0][person:malcolm m 1-1]
alexander| hey there| [location:there s 1-1]
malcolm| whats up|
alexander| We need to figure out what to bring to the Campbell s any idea what they like| [person:we g(alexander:malcolm) 0-0][person:they g(alexander:malcolm) 15-15]
malcolm| I don t have a clue what about macaroni and cheese with brocolli you can t go wrong with that| [person:malcolm m 0-0][person:alexander m 13-13]
alexander| I don t know not everyone loves brocolli like us LOL What do you think about Green bean casserole| [person:alexander m 0-0][person:everyone g(alexander:malcolm) 5-5][person:us g(alexander:malcolm) 9-9][person:alexander m 13-13]
malcolm| Sounds good but I don t know if that s the right dish| [person:malcolm m 3-3]
alexander| I have a better idea Why don t you ask Raymond he knows the Campbells better then us anyways| [person:alexander m 0-0][person:malcolm m 8-8][person:raymond m 10-10][person:raymond m 11-11][person:campbells g() 14-14][person:us g(alexander:malcolm:raymond) 17-17]
malcolm| Man that s the best idea you ve had today I ll get right on it and let you know what he says TTYL| [person:alexander m 6-6][person:malcolm m 10-10][person:alexander m 18-18][person:raymond m 21-21]
alexander| Wait|
malcolm| Yes|
alexander| If you don t mind have Raymond contact me directly it may be faster and I still have to run to the grocery store and make the dish| [person:malcolm m 1-1][person:raymond m 6-6][person:alexander m 8-8][person:alexander m 15-15][location:grocery_store s 22-23]
malcolm| Oh ok yeah that would make the most sense Should I have Raymond Text Call or Instant Message you| [person:malcolm m 10-10][person:raymond m 12-12][person:alexander m 18-18]
alexander| I would prefer a call I m heading out now to the store so hopefully he will call while i m there I have a ton of things to do before the event and cooking and shopping will take the longest| [person:alexander m 0-0][person:alexander m 5-5][location:grocery_store s 12-12][person:raymond m 15-15][person:alexander m 19-19][person:alexander m 22-22]
malcolm| I can understand that Do you need me to come help you prepare the dish i don t mind and i m ahead of schedule| [person:malcolm m 0-0][person:alexander m 5-5][person:malcolm m 7-7][person:alexander m 11-11][person:malcolm m 15-15][person:malcolm m 20-20]
alexander| no that s alright just have Raymond Call me gotta go TTYL| [person:raymond m 6-6][person:alexander m 8-8]
malcolm| later|

conv:chats_1126_2:aug_0:chat_0:chataug_0| jesse linda| [person:jesse m 0-0][person:linda f 1-1]
jesse| Hey Linda my siblings are visiting me next week so i suppose to take them some where any ideas| [person:linda f 1-1][person:jesse m 2-2][person:jesse m 6-6][person:jesse m 10-10][person:them g() 14-14]
linda| Oh really That s great there are so many great places What are your preferences| [location:places g() 10-10][person:jesse m 13-13]
jesse| There aren t any specific specifications anything good would be just perfect|
linda| Okay can I know what they like doing most| [person:linda f 2-2][person:them g() 5-5]
jesse| They like exhilarating rides tons of food and high prices| [person:them g() 0-0]
linda| Okay do you remember what they have done the last time they visted| [person:jesse m 2-2][person:them g() 5-5][person:them g() 11-11]
jesse| Um maybe I think they visited the amusement parks and ghost house near the beach area| [person:jesse m 2-2][person:them g() 4-4][location:beach s 14-14]
linda| Well here s an idea How about the amusement park by the forest plaza That s brand new and totally exciting for kids and adults too| [location:amusement_park s 8-9][location:forest_plaza s 12-13][location:forest_plaza s 13-13][person:kids g() 22-22]
jesse| That sounds like a very good plan Thanks|
linda| That s all right Jesse Enjoy with your siblings| [person:jesse m 4-4][person:jesse m 7-7]

conv:chats_1126_3:aug_0:chat_0:chataug_0| beverley jim| [person:beverley f 0-0][person:jim m 1-1]
beverley| Hi Jim How was your work going on| [person:jim m 1-1][person:jim m 4-4]
jim| Hi Beverley It was going good What about you| [person:beverley f 1-1][person:beverley f 8-8]
beverley| Yeah It all goes good I want to ask you something Are you free now| [person:beverley f 5-5][person:jim m 9-9][person:jim m 12-12]
jim| Yeah I am free right now Tell me what is the matter| [person:jim m 1-1][person:jim m 7-7]
beverley| Since we are going to complete our first week at work So shall we go out for the dinner| [person:jim___beverley g(beverley:jim) 1-1][person:jim___beverley g(beverley:jim) 6-6][person:jim___beverley g(beverley:jim) 13-13][location:dinner s 18-18]
jim| That s a good idea We shall go by this weekend| [person:jim___beverley g(beverley:jim) 5-5]
beverley| We shall invite our colleagues Lilly and Oliver for the dinner| [person:jim___beverley g(beverley:jim) 0-0][person:jim___beverley g(beverley:jim) 3-3][person:oliver___lilly g() 4-4][person:lilly f 5-5][person:oliver m 7-7][location:dinner s 10-10]
jim| Yeah Sure We will invite them as they are fond to hangout| [person:jim___beverley g(beverley:jim) 2-2][person:oliver___lilly g(oliver:lilly) 5-5][person:oliver___lilly g(oliver:lilly) 7-7]
beverley| Okay Ask them to get ready by this week end| [person:oliver___lilly g(oliver:lilly) 2-2]
jim| Okay I will inform them and get ready for the outing| [person:jim m 1-1][person:oliver___lilly g(oliver:lilly) 4-4]

conv:chats_1126_5:aug_0:chat_0:chataug_0| alan edward| [person:alan m 0-0][person:edward m 1-1]
alan| Hey Edward guess what I won the Texas Lotto| [person:edward m 1-1][person:alan m 4-4]
edward| Great news dude how much did you win| [person:alan m 6-6]
alan| I will get 6000 after all the taxes| [person:alan m 0-0]
edward| Awesome what do you plan to do with the money| [person:alan m 3-3]
alan| I will tell my family first then decide what to do with the money| [person:alan m 0-0][person:alan m 3-3][person:family g() 4-4]
edward| Have you told Marcus and Beverly| [person:alan m 1-1][person:marcus m 3-3][person:beverly f 5-5]
alan| No I do not want to tell them| [person:alan m 1-1][person:them g(marcus:beverly) 7-7]
edward| Why I thought you liked them as you hangout together often| [person:edward m 1-1][person:alan m 3-3][person:them g(marcus:beverly) 5-5][person:alan m 7-7]
alan| They are good to hangout with but I know that Beverley will suddenly need to borrow money and Marcus would want to go out to dinner and forget his wallet| [person:them g(marcus:beverly) 0-0][person:alan m 7-7][person:beverly f 10-10][person:marcus m 18-18][person:marcus m 28-28]
edward| Alright it is up to you| [person:alan m 5-5]

conv:chats_1126_6:aug_0:chat_0:chataug_0| alexander evelyn| [person:alexander m 0-0][person:evelyn f 1-1]
evelyn| Hi Alexander Have you noticed our Coworkers Ben and Sue| [person:alexander m 1-1][person:alexander m 3-3][person:our g(evelyn:alexander) 5-5][person:coworkers g() 6-6][person:ben m 7-7][person:sue f 9-9]
alexander| Yes Evenly I am noticing them Why What is the matter| [person:alexander m 2-2][person:coworkers g(ben:sue) 5-5]
evelyn| They were dating in the workplace I think we should help them out| [person:coworkers g(ben:sue) 0-0][person:evelyn f 6-6][person:our g(evelyn:alexander) 8-8][person:coworkers g(ben:sue) 11-11]
alexander| Yes our work place that the policy which allows dating So there is no problem| [person:our g(evelyn:alexander) 1-1][location:place s 3-3]
evelyn| Since you are the Team leader I want you to tell them What do you say| [person:alexander m 1-1][person:team g(evelyn:alexander:ben:sue) 4-4][person:evelyn f 6-6][person:alexander m 8-8][person:coworkers g(ben:sue) 11-11][person:alexander m 14-14]
alexander| Yes you are right as a team lead I have to assert them| [person:evelyn f 1-1][person:team g(evelyn:alexander:ben:sue) 6-6][person:alexander m 8-8][person:coworkers g(ben:sue) 12-12]
evelyn| Yeah That will be good thing to do|
alexander| I will tell them in the way that their relationship should not affect their work| [person:alexander m 0-0][person:coworkers g(ben:sue) 3-3][person:coworkers g(ben:sue) 8-8][person:coworkers g(ben:sue) 13-13]
evelyn| Okay That is fine See you at the dinner| [person:alexander m 5-5][location:dinner s 8-8]
alexander| Okay thanks for your guidance we will meet there| [person:evelyn f 3-3][person:our g(evelyn:alexander) 5-5][location:dinner s 8-8]

conv:chats_1126_9:aug_0:chat_0:chataug_0| cynthia gregory| [person:cynthia f 0-0][person:gregory m 1-1]
gregory| Hey Cynthia I reached chicken wings bar Where are you at| [person:cynthia f 1-1][person:gregory m 2-2][location:chicken_wings_bar s 4-6][location:bar s 6-6][person:cynthia f 9-9]
cynthia| Yeah I am on my way to the bar| [person:cynthia f 1-1][person:cynthia f 4-4][location:chicken_wings_bar s 8-8]
gregory| Great I heard a waiter say that there s a deal going on in the bar and it is pretty good| [person:gregory m 1-1][location:bar s 15-15]
cynthia| Oh What is the deal about|
gregory| The deal is if we could finish 200 wings then the food we order will be free of cost| [person:we g(gregory:cynthia) 4-4][person:we g(gregory:cynthia) 12-12]
cynthia| Oh That s great But do you think that we both of us can finish it| [person:gregory m 6-6][person:we g(gregory:cynthia) 9-9][person:we g(gregory:cynthia) 12-12]
gregory| I think not But if we have more people then it would become easy for us Do you have any friends who can help us out in this| [person:gregory m 0-0][person:we g(gregory:cynthia) 5-5][person:we g(gregory:cynthia) 15-15][person:cynthia f 17-17][person:friends g() 20-20][person:we g(gregory:cynthia) 24-24]
cynthia| I think Emma Rodger and Steven are the right people for this And we shall invite them if you are okay with it| [person:cynthia f 0-0][person:emma f 2-2][person:rodger m 3-3][person:steven m 5-5][person:we g(gregory:cynthia) 13-13][person:them g(emma:rodger:steven) 16-16][person:gregory m 18-18]
gregory| That s great but I don t think that so many people are necessary just invite Emma and Rodger only and meet me at the bar| [person:gregory m 4-4][person:emma f 16-16][person:rodger m 18-18][person:gregory m 22-22][location:bar s 25-25]
