conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
jackie| Then suggest me a good place as you know it very well| [person:jackie f 2-2][location:place s 5-5][person:eva f 7-7]
eva| We have to decide a place which is little nearer to Steve s place as he doesn t like to drive long| [person:our g(jackie:eva) 0-0][location:place s 5-5][person:steve m 11-11][location:place s 13-13][person:steve m 15-15]
jackie| Oh yeah I know him Okay you can check with him about the convenient place| [person:jackie f 2-2][person:steve m 4-4][person:eva f 6-6][person:steve m 10-10][location:place s 14-14]
eva| I will check with Steve and also will discuss about this with our other friends| [person:eva f 0-0][person:steve m 4-4][person:our g(jackie:eva) 12-12][person:friends g(grace:steve:frank) 14-14]
jackie| That s nice and thanks for your help| [person:eva f 6-6]
eva| Always no thanks among good friends Got it| [person:our g(jackie:eva) 5-5]
jackie| Got it|

conv:people_2019081802_129:aug_0:chat_0:chataug_0| daniel ralph| [person:daniel m 0-0][person:ralph m 1-1]
ralph| Dany have you forgetten about party at Wilsons| [person:daniel m 2-2][person:wilson m 7-7]
daniel| Come on how can I forget it| [person:daniel m 4-4]
ralph| When will be we moving| [person:we g(ralph:daniel) 3-3]
daniel| I think we can push off at 5 in the evening| [person:daniel m 0-0][person:we g(ralph:daniel) 2-2]
ralph| Fine But we have to buy something for him no| [person:we g(ralph:daniel) 2-2][person:wilson m 8-8]
daniel| Surely I was going to ask you about it Have you anything in mind| [person:daniel m 1-1][person:ralph m 6-6][person:ralph m 10-10]
ralph| I think we can consult Howard He knows about better about Wilsons interests| [person:ralph m 0-0][person:we g(ralph:daniel) 2-2][person:howard m 5-5][person:howard m 6-6][person:wilson m 11-11]
daniel| You have rightly said we can consult him| [person:ralph m 0-0][person:we g(ralph:daniel) 4-4][person:howard m 7-7]
ralph| Can you get him now| [person:daniel m 1-1][person:howard m 3-3]
daniel| Yeah I shall make him a call now| [person:daniel m 1-1][person:howard m 4-4]

conv:people_2019081802_130:aug_0:chat_0:chataug_0| jeremy linda| [person:jeremy m 0-0][person:linda f 1-1]
jeremy| Hey Linda how are you| [person:linda f 1-1][person:linda f 4-4]
linda| Good you| [person:jeremy m 1-1]
jeremy| Not bad so what should we do with our company| [person:we g(jeremy:linda) 5-5][person:we g(jeremy:linda) 8-8]
linda| I was thinking the same thing It s nice having Rebecca and Kelly here| [person:linda f 0-0][person:rebecca f 10-10][person:kelly f 12-12][location:here u 13-13]
jeremy| Yeah it s nice to see them Do you think they d like to check out a museum or something| [person:them g(rebecca:kelly) 6-6][person:linda f 8-8][person:them g(rebecca:kelly) 10-10][location:museum s 17-17]
linda| Yeah maybe What about the zoo I think Kelly likes animals| [location:zoo s 5-5][person:linda f 6-6][person:kelly f 8-8]
jeremy| That d be fun Maybe we could do both| [person:we g(jeremy:linda:rebecca:kelly) 5-5]
linda| I think we ll have time for both| [person:linda f 0-0][person:we g(jeremy:linda:rebecca:kelly) 2-2]
jeremy| Okay cool Let s ask them when they get here| [person:them g(rebecca:kelly) 5-5][person:them g(rebecca:kelly) 7-7][location:here u 9-9]
linda| Okay awesome Should be fun|
jeremy| Definitely I ve been wanting to check out that new museum myself| [person:jeremy m 1-1][location:museum s 10-10][person:jeremy m 11-11]

conv:people_2019081802_131:aug_0:chat_0:chataug_0| hannah michelle| [person:hannah f 0-0][person:michelle f 1-1]
michelle| Craig and Austin are coming into town to visit| [person:craig m 0-0][person:austin m 2-2][location:town s 6-6]
hannah| That s going to be fun What are you guys doing| [person:michelle f 8-8]
michelle| Well I have to work one of the days I was wondering if you d mind showing them around| [person:michelle f 1-1][person:michelle f 9-9][person:hannah f 13-13][person:them g(craig:austin) 17-17]
hannah| No I wouldn t mind I enjoy their company| [person:michelle f 1-1][person:hannah f 5-5][person:them g(craig:austin) 7-7]
michelle| Thank you so much You re really helping me out| [person:hannah f 1-1][person:hannah f 4-4][person:michelle f 8-8]
hannah| What kind of places should I take them to What do they like| [location:places g() 3-3][person:hannah f 5-5][person:them g(craig:austin) 7-7][person:them g(craig:austin) 11-11]
michelle| They are both big foodies and like craft beer| [person:them g(craig:austin) 0-0]
hannah| Awesome There are some great restaurants and breweries in town What else| [location:restaurants g() 5-5][location:breweries g() 7-7][location:town s 9-9]
michelle| They enjoy art museums and exhibitions| [person:them g(craig:austin) 0-0][location:art_museums s 2-3]
hannah| Okay cool I ll take them to the art museum downtown| [person:hannah f 2-2][person:them g(craig:austin) 5-5][location:art_museum s 8-9]

conv:people_2019081802_132:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
alexander| Hey Johnny you know I ma planning a party for Amy and David Jeffrey right| [person:johnny m 1-1][person:johnny m 2-2][person:alexander m 4-4][person:amy f 10-10][person:david m 12-12][person:jeffrey m 13-13]
johnny| Yes I a know Do you need some help| [person:johnny m 1-1][person:alexander m 5-5]
alexander| I sure do I am unsure where to have it| [person:alexander m 0-0][person:alexander m 3-3]
johnny| Well what are some of their favorite places| [person:their g(amy:david:jeffrey) 5-5][location:places g() 7-7]
alexander| Amy loves the park but I am unsure about David| [person:amy f 0-0][location:park s 3-3][person:alexander m 5-5][person:david m 9-9]
johnny| Other than football I am out of suggestions| [person:johnny m 3-3]
alexander| That won t work I need something else| [person:alexander m 4-4]
johnny| I think you should ask Edgar he might know what David likes| [person:johnny m 0-0][person:alexander m 2-2][person:edgar m 5-5][person:edgar m 6-6][person:david m 10-10]
alexander| Thanks great idea|
johnny| Your welcome Keep me posted on the details| [person:alexander m 0-0][person:johnny m 3-3]

conv:people_2019081802_133:aug_0:chat_0:chataug_0| jackie melissa| [person:jackie f 0-0][person:melissa f 1-1]
melissa| I am so excited to have you guys over for my farewell dinner| [person:melissa f 0-0][person:jackie f 6-6][person:melissa f 10-10]
jackie| I would not miss it for the world I would miss you when you are off at college| [person:jackie f 0-0][person:jackie f 8-8][person:melissa f 11-11][person:melissa f 13-13]
melissa| You can always visit me and bring Leslie Kayla and Janet| [person:jackie f 0-0][person:melissa f 4-4][person:leslie f 7-7][person:kayla f 8-8][person:janet f 10-10]
jackie| Of course You can tell them yourself when we get there later| [person:melissa f 2-2][person:them g(leslie:kayla:janet) 5-5][person:melissa f 6-6][person:we g(jackie:leslie:kayla:janet) 8-8][location:there u 10-10]
melissa| Right on I was wondering what to serve I know that you eat anything What about the other girls| [person:melissa f 2-2][person:melissa f 8-8][person:jackie f 11-11][person:girls g(leslie:kayla:janet) 18-18]
jackie| Leslie and Janet like fast food so burgers would be great| [person:leslie f 0-0][person:janet f 2-2]
melissa| I can do burgers What about Kayla| [person:melissa f 0-0][person:kayla f 6-6]
jackie| She is a little more classy There is this Italian restaurant that she dines in frequently| [person:kayla f 0-0][location:restaurant s 10-10][person:kayla f 12-12]
melissa| Hmm Well I think I would serve pizza then It is fast food and it is Italian| [person:melissa f 2-2][person:melissa f 4-4]
jackie| You are so smart That is why I am going to miss you so| [person:melissa f 0-0][person:jackie f 7-7][person:melissa f 12-12]

conv:people_2019081802_134:aug_0:chat_0:chataug_0| randy ryan| [person:randy m 0-0][person:ryan m 1-1]
randy| We will have a drinks party soon along with your friends| [person:we g(randy:ryan) 0-0][person:ryan m 9-9][person:friends g() 10-10]
ryan| yes we can have lot of fun| [person:we g(randy:ryan) 1-1]
randy| So when are your friends free| [person:ryan m 3-3][person:friends g() 4-4]
ryan| I will just ask them| [person:ryan m 0-0][person:them g() 4-4]
randy| This weekend might be convinient for all|
ryan| May be yes as i will discuss with them| [person:ryan m 4-4][person:them g() 8-8]
randy| Where do we planned to have drinks party| [person:we g(randy:ryan) 2-2]
ryan| I think your place is perfect| [person:ryan m 0-0][person:randy m 2-2][location:place s 3-3]
randy| Okay i will get ready for the party and you fix the date| [person:randy m 1-1][person:ryan m 9-9]
ryan| I will call my friends and decide everything| [person:ryan m 0-0][person:ryan m 3-3][person:friends g() 4-4]

conv:people_2019081802_135:aug_0:chat_0:chataug_0| jesse rebecca| [person:jesse m 0-0][person:rebecca f 1-1]
jesse| We finally finished decorating our house and now it s time for some guests| [person:we g(jesse:rebecca) 0-0][person:we g(jesse:rebecca) 4-4]
rebecca| I agree I m so excited I ve already told the Watsons to come over| [person:rebecca f 0-0][person:rebecca f 2-2][person:rebecca f 6-6][person:watsons g() 11-11]
jesse| Did you really Oh I told the Wilboroghs to come over too| [person:rebecca f 1-1][person:jesse m 4-4][person:wilboroghs g() 7-7]
rebecca| Haha well they can both come over| [person:they g() 2-2]
jesse| Yes it can be our little house warming party| [person:we g(jesse:rebecca) 4-4]
rebecca| The only issue is what day|
rebecca| I ve got a lot going on this month| [person:rebecca f 0-0]
jesse| As do I| [person:jesse m 2-2]
jesse| Hmmm let me think| [person:jesse m 2-2]
rebecca| Maybe we should split it up| [person:we g(jesse:rebecca) 1-1]
rebecca| The Watsons can come visit this weekend I ll just rearrange my schedule| [person:watsons g() 1-1][person:rebecca f 7-7][person:rebecca f 11-11]
jesse| Ok then I ll let the Wilboroghs know they can come in two weeks Since we ll be out of town the following week| [person:jesse m 2-2][person:wilboroghs g() 6-6][person:wilboroghs g() 8-8][person:we g(jesse:rebecca) 15-15][location:town s 20-20]
rebecca| Perfect we make a good team| [person:we g(jesse:rebecca) 1-1]
jesse| Haha yes we do| [person:we g(jesse:rebecca) 2-2]

conv:people_2019081802_136:aug_0:chat_0:chataug_0| marcus martin| [person:marcus m 0-0][person:martin m 1-1]
marcus| Hey Martin how s it going| [person:martin m 1-1]
martin| Things are good Marcus what s up| [person:marcus m 3-3]
marcus| I was wondering if you would be interested in planning a poker night with me and some of the boys| [person:marcus m 0-0][person:martin m 4-4][person:marcus m 14-14][person:boys g() 19-19]
martin| That s a great idea I would love to help you plan Who were you thinking| [person:martin m 5-5][person:marcus m 10-10][person:marcus m 14-14]
marcus| Me and you and I know Anthony and Louis like to play too| [person:marcus m 0-0][person:martin m 2-2][person:marcus m 4-4][person:anthony m 6-6][person:louis m 8-8]
martin| Anthony and Louis are cool What about Vincent and Carlos as well| [person:anthony m 0-0][person:louis m 2-2][person:vincent m 7-7][person:carlos m 9-9]
marcus| Hmmm that would make 6 do you think it is too many| [person:martin m 6-6]
martin| Nah I think 6 is a good amount for poker We will have fun| [person:martin m 1-1][person:we g(marcus:martin:anthony:louis:vincent:carlos) 10-10]
marcus| You re right it has been a while since we got together too Where should we have it| [person:martin m 0-0][person:we g(marcus:martin:anthony:louis:vincent:carlos) 9-9][person:we g(marcus:martin:anthony:louis:vincent:carlos) 15-15]
martin| Good question I would offer my place but I live a bit far from the rest of you| [person:martin m 2-2][person:martin m 5-5][location:place s 6-6][person:martin m 8-8][person:marcus m 17-17]
marcus| True We could have it here since I am more central but I was thinking maybe we can go somewhere| [person:we g(marcus:martin:anthony:louis:vincent:carlos) 1-1][location:here u 5-5][person:marcus m 7-7][person:marcus m 12-12][person:we g(marcus:martin:anthony:louis:vincent:carlos) 16-16]
martin| I think there are a few bars that host poker nights in the area You pay for a table and can stay as long as you need| [person:martin m 0-0][location:bars g() 6-6][person:marcus m 14-14][person:marcus m 25-25]
marcus| That might be a good idea Then everyone can get whatever they want as far as food and drink are concerned| [person:we g(marcus:martin:anthony:louis:vincent:carlos) 7-7][person:we g(marcus:martin:anthony:louis:vincent:carlos) 11-11]
martin| Let s try that If you can call the guys I will call around and see what is open for the next few weekends and we can see when everyone is free| [person:marcus m 5-5][person:martin m 10-10][person:we g(marcus:martin:anthony:louis:vincent:carlos) 25-25][person:we g(marcus:martin:anthony:louis:vincent:carlos) 29-29]
marcus| That sounds good I will call them and get back to you| [person:marcus m 3-3][person:them g(anthony:louis:vincent:carlos) 6-6][person:martin m 11-11]

conv:people_2019081802_137:aug_0:chat_0:chataug_0| dave juan| [person:dave m 0-0][person:juan m 1-1]
juan| Hey man do you want to get breakfast next week| [person:dave m 3-3]
dave| I m down Grace and Dwayne are also going to be in town We should get a table for four| [person:dave m 0-0][person:grace f 3-3][person:dwayne m 5-5][location:town s 12-12][person:we g(juan:dave:grace:dwayne) 13-13]
juan| Okay cool That sounds fun Where should we go| [person:we g(juan:dave:grace:dwayne) 7-7]
dave| I m not sure Grace is gluten free We should probably go to somewhere that has gluten free options| [person:dave m 0-0][person:grace f 4-4][person:we g(juan:dave:grace:dwayne) 8-8]
juan| Okay Do you know if Dwayne is still vegan| [person:dave m 2-2][person:dwayne m 5-5]
dave| I don t know He was vegan last time I saw him Are there any good options uptown| [person:dave m 0-0][person:dwayne m 4-4][person:dave m 9-9][person:dwayne m 11-11][location:uptown s 17-17]
juan| How about Felipe s Tacqueria They have gluten free and vegan options| [person:they g() 5-5]
dave| That sounds perfect They have the best tacos in town| [person:they g() 3-3][location:town s 9-9]
juan| Okay cool Do you want to let Grace and Dwayne know I ll book a table for 10 am| [person:dave m 3-3][person:grace f 7-7][person:dwayne m 9-9][person:juan m 11-11]
dave| Awesome Yeah I ll text them See you then| [person:dave m 2-2][person:them g(grace:dwayne) 5-5][person:juan m 7-7]

conv:people_2019081802_139:aug_0:chat_0:chataug_0| marcus steve| [person:marcus m 0-0][person:steve m 1-1]
steve| Hey Marcus you around| [person:marcus m 1-1][person:marcus m 2-2]
marcus| Hey Steve what s going on| [person:steve m 1-1]
steve| My brother Keith and Keith s friend Stephan are in town visiting me We want to go somewhere to watch the soccer game| [person:steve m 0-0][person:keith m 1-1][person:keith m 2-2][person:keith m 4-4][person:stephan m 6-6][person:stephan m 7-7][person:steve m 12-12][person:we g(steve:keith:stephan) 13-13]
marcus| That sounds like fun|
steve| You want to come| [person:marcus m 0-0]
marcus| Sure I d love to| [person:marcus m 1-1]
steve| Great Any recommendations of where we should go to watch the game Somewhere with food and tvs| [person:we g(steve:marcus:keith:stephan) 5-5]
marcus| What about the Buffalo Wild WIngs near me We ve been there before for the game| [location:buffalo_wild_wings s 3-5][person:marcus m 7-7][person:we g(steve:marcus) 8-8][location:buffalo_wild_wings s 11-11]
steve| Oh yeah that s perfect|
marcus| See you there at 2| [person:we g(steve:keith:stephan) 1-1][location:buffalo_wild_wings s 2-2]
steve| See ya|

conv:people_2019081802_140:aug_0:chat_0:chataug_0| ivan tim| [person:ivan m 0-0][person:tim m 1-1]
ivan| Hi how r u| [person:tim m 3-3]
tim| Fine good|
ivan| In which class are you studying| [person:tim m 4-4]
tim| I am in 12th standard what about you| [person:tim m 0-0][person:ivan m 7-7]
ivan| I am in ninth standard| [person:ivan m 0-0]
tim| Do you come to school by bus| [person:ivan m 1-1][location:school s 4-4]
ivan| Yes I am travelling by bus I have to catch Route No 24 bus| [person:ivan m 1-1][person:ivan m 6-6]
tim| It has passed on just 15 minutes before|
ivan| There is another bus at 4 45p m|
tim| Who is he learning on the iron pole| [person:beggar m 2-2]
ivan| He is a beggar He is a trouble to the passengers| [person:beggar m 0-0][person:beggar m 4-4]
tim| He seems to be blind| [person:beggar m 0-0]
ivan| We must help the blind people| [person:we g(ivan:tim) 0-0]
tim| k bye see u later| [person:ivan m 3-3]

conv:people_2019081802_141:aug_0:chat_0:chataug_0| evan harold| [person:evan m 0-0][person:harold m 1-1]
evan| Hey Harold I can t wait to go boating| [person:harold m 1-1][person:evan m 2-2]
harold| Me too Are Willie Matt and Jessie still going| [person:harold m 0-0][person:willie m 3-3][person:matt m 4-4]
evan| Yes they will be there What should we bring| [person:they g(willie:matt) 1-1][location:there u 4-4][person:we g(evan:harold:willie:matt) 7-7]
harold| Well we need to bring rods worms a tackle box a lunch and drinks| [person:we g(evan:harold:willie:matt) 1-1]
evan| Let s divide who gets what|
harold| Okay how about I ask Willie to bring lunch| [person:harold m 3-3][person:willie m 5-5]
evan| Ok I ll all Matt to bring the rods and worms| [person:evan m 1-1][person:matt m 4-4]
harold| I ll tell Jessie to bring the drinks| [person:harold m 0-0]
evan| Sounds like a plan That will be so much fun|
harold| I can t wait to go to the lake See you there 3 PM Tuesday| [person:harold m 0-0][location:lake s 8-8][person:evan m 10-10][location:there u 11-11]
evan| See you then Harold| [person:harold m 1-1][person:harold m 3-3]

conv:people_2019081802_143:aug_0:chat_0:chataug_0| anthony ethan| [person:anthony m 0-0][person:ethan m 1-1]
anthony| Hi Ethan Are you free now| [person:ethan m 1-1][person:ethan m 3-3]
ethan| Yes dear I am free now Anything important| [person:ethan m 2-2]
anthony| I will be free on tomorrow night and I wish to go to cinema at that time I don t want to go to cinema alone So I wish to invite you| [person:anthony m 0-0][person:anthony m 8-8][location:cinema s 13-13][person:anthony m 17-17][location:cinema s 24-24][person:anthony m 27-27][person:ethan m 31-31]
ethan| Tomorrow night I don t have any commitments at all So I am ready to join with you But it will be more fun if we join with our friends| [person:ethan m 2-2][person:ethan m 11-11][person:anthony m 17-17][person:we g(anthony:ethan) 25-25][person:we g(anthony:ethan) 28-28][person:friends g() 29-29]
anthony| I know dear After inviting you I am going to invite our friends Steve and Nicole But I don t know that is it convenient for them to go to cinema tomorrow| [person:anthony m 0-0][person:ethan m 5-5][person:anthony m 6-6][person:we g(anthony:ethan) 11-11][person:friends g() 12-12][person:steve m 13-13][person:nicole f 15-15][person:anthony m 17-17]
ethan| I know that they are also free tomorrow night| [person:ethan m 0-0][person:them g(steve:nicole) 3-3]
anthony| Oh Nice How do you know that they are free| [person:ethan m 4-4][person:them g(steve:nicole) 7-7]
ethan| We are working in the near by places and we will meet daily So yesterday they told me they are also free on tomorrow night| [person:we g(anthony:ethan) 0-0][person:we g(anthony:ethan) 9-9][person:them g(steve:nicole) 15-15][person:ethan m 17-17][person:them g(steve:nicole) 18-18]
anthony| Good Let me invite them to cinema| [person:anthony m 2-2][person:them g(steve:nicole) 4-4][location:cinema s 6-6]
ethan| Sure dear We will have the great time tomorrow and have more fun| [person:we g(anthony:ethan) 2-2]
anthony| Definitely dear Okay Bye Call you later| [person:ethan m 5-5]
ethan| Bye|

conv:people_2019081802_145:aug_0:chat_0:chataug_0| jennifer kathryn| [person:jennifer f 0-0][person:kathryn f 1-1]
kathryn| Jenny our program of break fast with Alan and Amy will not go Alan told he has some inconvenience| [person:our g(kathryn:jennifer) 1-1][person:alan m 7-7][person:amy f 9-9][person:alan m 13-13][person:alan m 15-15]
jennifer| Oh sad Then how can spend our next week| [person:our g(kathryn:jennifer:amy:alan) 6-6]
kathryn| I am also not sure we shall ask Amy| [person:kathryn f 0-0][person:we g(kathryn:jennifer) 5-5][person:amy f 8-8]
jennifer| That is not needed We shall find an alternative and inform them| [person:we g(kathryn:jennifer) 4-4][person:them g(alan:amy) 11-11]
kathryn| What do you think| [person:jennifer f 2-2]
jennifer| Shall we go to drive in beach| [person:our g(kathryn:jennifer:amy:alan) 1-1][location:beach s 6-6]
kathryn| Thats a good idea When will we go| [person:our g(kathryn:jennifer:amy:alan) 6-6]
jennifer| We can start by 8 in the morning otherwise there will be very rush| [person:our g(kathryn:jennifer:amy:alan) 0-0]
kathryn| I have some inconvenience at that time I will come back from church by 8 o clock| [person:kathryn f 0-0][person:kathryn f 7-7][location:church s 12-12]
jennifer| Ok Then we can push off at 9 am Ok| [person:our g(kathryn:jennifer:amy:alan) 2-2]
kathryn| Thats fine but we have to get there acceptance too| [person:we g(kathryn:jennifer) 3-3]
jennifer| Surely we shall tell them| [person:we g(kathryn:jennifer) 1-1][person:them g(alan:amy) 4-4]

conv:people_2019081802_146:aug_0:chat_0:chataug_0| christian randy| [person:christian m 0-0][person:randy m 1-1]
christian| Hey Randy Are you ready to go the Smith s place for breakfast| [person:randy m 1-1][person:randy m 3-3][person:smith g() 8-8][location:place s 10-10]
randy| Damn that was today I completely forgot I am free i m sure i can make it| [person:randy m 4-4][person:randy m 7-7][person:randy m 10-10][person:randy m 13-13]
christian| That s typical you I was wondering what we should get them Do you have any ideas| [person:randy m 3-3][person:christian m 4-4][person:we g(christian:randy) 8-8][person:smith g() 11-11][person:randy m 13-13]
randy| Lets just go empty handed it s just breakfast|
christian| I don t think that s nice man I was thinking croissants will do the trick What do you say| [person:christian m 0-0][person:christian m 8-8][person:randy m 18-18]
randy| So you will bring them a breakfast item while they are hosting us for breakfast That should go well| [person:christian m 1-1][person:smith g() 4-4][person:smith g() 9-9][person:we g(christian:randy) 12-12]
christian| Stop mocking me and help I wish Chris were there he d know what to get them He does spend a lot of time with them Could you ask him| [person:christian m 2-2][person:christian m 5-5][person:chris m 7-7][person:chris m 10-10][person:smith g() 16-16][person:chris m 17-17][person:randy m 27-27][person:chris m 29-29]
randy| Sound like a great idea I will try to get in touch with him| [person:randy m 5-5][person:chris m 13-13]
christian| Could you just buy what he suggests i will reimburse you later One last thing don t be late| [person:randy m 1-1][person:chris m 5-5][person:christian m 7-7][person:randy m 10-10]
randy| Yeah no problem I can do that He said to bring them mangoes apparently Mrs Smith loves them There s a shop nearby i will just buy some and head right over| [person:randy m 3-3][person:chris m 7-7][person:smith g() 11-11][person:smith f 15-15][location:shop s 21-21][person:randy m 23-23]

conv:people_2019081802_149:aug_0:chat_0:chataug_0| ann diane| [person:ann f 0-0][person:diane f 1-1]
diane| Hi Ann I am so excited to finally be here in LA| [person:ann f 1-1][person:diane f 2-2][location:la s 9-9][location:la s 11-11]
ann| I m glad you made it safely Do the others know your here yet| [person:ann f 0-0][person:diane f 3-3][person:others g() 9-9][person:diane f 11-11][location:la s 12-12]
diane| Not yet I want to first figure out a place we can all meet Then surprise them| [person:diane f 2-2][location:place s 9-9][person:we g(diane:ann) 10-10][person:others g(ann) 16-16]
ann| Oh that will be a great surprise|
diane| So what area does Marie Darren and Bradley live in| [person:marie f 4-4][person:darren m 5-5][person:bradley m 7-7]
ann| They are pretty close to me except Darren is across the bridge on other side of river| [person:they g(marie:darren:bradley) 0-0][person:ann f 5-5][person:darren m 7-7][location:river s 16-16]
diane| Oh well Darren doesn t like to drive So maybe we find a place on his side of river| [person:darren m 2-2][person:we g(diane:ann) 10-10][location:place s 13-13][person:darren m 15-15][location:river s 18-18]
ann| That would probably be a good idea|
diane| Ok I need suggestions then please| [person:diane f 1-1]
ann| How about the new Chinese restaurant Its 1 block from the bridge| [location:restaurant s 5-5][location:bridge s 11-11]
diane| Sounds perfect to me I will call them tonight| [person:diane f 3-3][person:diane f 4-4][person:they g(marie:darren:bradley) 7-7]

conv:people_2019081802_151:aug_0:chat_0:chataug_0| james lara| [person:james m 0-0][person:lara f 1-1]
james| We should arrange the get together so that everybody enjoys| [person:we g(james:lara) 0-0][person:everybody g() 8-8]
lara| you are right and we will list out the things for the lunch| [person:james m 0-0][person:we g(james:lara) 4-4]
james| You list out the things i should get while coming back from work| [person:lara f 0-0][person:james m 5-5]
lara| Okay that is perfect as i can proceed with house hold things| [person:lara f 5-5]
james| It would be better to consider each one s favourite while selecting items for lunch|
lara| They all like chicken dishes| [person:they g() 0-0]
james| okay will get some chicken dry items along with some food and burgers|
lara| That is fine and you better get some drinks along with that| [person:james m 4-4]
james| Okay fine everything is sorted out|
lara| okay then i will arrange for other things at home| [person:lara f 2-2][location:home s 9-9]

conv:people_2019081802_153:aug_0:chat_0:chataug_0| jen julia| [person:jen f 0-0][person:julia f 1-1]
julia| Hi I am so excited for the party aren t you| [person:julia f 1-1][person:jen f 10-10]
jen| I am as well How are we dividing up the planning responsibilities| [person:jen f 0-0][person:we g(julia:jen) 6-6]
julia| I think that Laura should do the invitations as she is super creative in that way| [person:julia f 0-0][person:laura f 3-3][person:laura f 9-9]
jen| Agreed I would give Alice the appetizer responsibility She is a foodie and knows what people like| [person:jen f 1-1][person:alice f 4-4][person:alice f 8-8]
julia| Perfect That leaves something for Amy I guess that she can help you decorate I have the main meal planned out so I ll coordinate that with Alice so the food works together| [person:amy f 5-5][person:julia f 6-6][person:amy f 9-9][person:jen f 12-12][person:julia f 14-14][person:julia f 22-22][person:alice f 27-27]
julia| I d say we do the Fiesta theme that we spoke about Makes the food and drinks that much easier| [person:julia f 0-0][person:we g(julia:jen:laura:alice:amy) 3-3][person:we g(julia:jen:laura:alice:amy) 9-9]
jen| I m with you Who doesn t love a good sangria or margarita| [person:jen f 0-0][person:julia f 3-3]
jen| I can handle the drinks Is that sufficient| [person:jen f 0-0]
julia| Yes that is good I will buy the alcohol and all the food for the main meal and apps| [person:julia f 4-4]
jen| Sounds good I ll give you some money towards it and I m sure the other girls will to It s going to be a blast| [person:jen f 2-2][person:julia f 5-5][person:jen f 11-11][person:girls g(laura:alice:amy) 16-16]
jen| Are all the regulars coming I haven t seen some of them in a long time| [person:jen f 5-5][person:girls g(laura:alice:amy) 11-11]
julia| Yup everyone is tentatively confirmed It will be a good time| [person:we g(julia:jen:laura:alice:amy) 1-1]

conv:people_2019081802_154:aug_0:chat_0:chataug_0| brenda walt| [person:brenda f 0-0][person:walt m 1-1]
brenda| Will be having a drinks party with Harry next week and want you to join us| [person:harry m 7-7][person:walt m 12-12][person:us g(brenda:harry) 15-15]
walt| I haven t met Harry for a long time and I am excited| [person:walt m 0-0][person:harry m 4-4][person:walt m 10-10]
brenda| So can i expect you to join us next week| [person:brenda f 2-2][person:walt m 4-4][person:us g(brenda:harry) 7-7]
walt| Sure and can i get Edgar as he is also here in my place| [person:walt m 3-3][person:edgar m 5-5][person:edgar m 7-7][location:place s 10-10][person:walt m 12-12][location:place s 13-13]
brenda| That would be great|
walt| Edgar will also get to know each one of us properly| [person:edgar m 0-0][person:us g(brenda:walt:harry) 9-9]
brenda| So will you ask Edgar to join us next week| [person:walt m 2-2][person:edgar m 4-4][person:us g(brenda:walt:harry) 7-7]
walt| I will ask him today itself| [person:walt m 0-0][person:edgar m 3-3]
brenda| So we can have a grand get together| [person:us g(brenda:harry) 1-1]
walt| Yes i am too happy and anxious| [person:walt m 1-1]

conv:people_2019081802_155:aug_0:chat_0:chataug_0| doug stanley| [person:doug m 0-0][person:stanley m 1-1]
stanley| Hey Doug how are you doing| [person:doug m 1-1][person:doug m 4-4]
doug| I m doing great How are you doing| [person:doug m 0-0][person:stanley m 6-6]
stanley| I m fine my friends Tim and Roger are coming to visit| [person:stanley m 0-0][person:stanley m 3-3][person:friends g() 4-4][person:tim m 5-5][person:roger m 7-7]
doug| Oh cool What are you planning to do with them| [person:stanley m 4-4][person:friends g(tim:roger) 9-9]
stanley| Well I was wondering if you could show them around St Louis| [person:stanley m 1-1][person:doug m 5-5][person:them g(tim:roger) 8-8][location:st__louis s 10-11]
doug| Where do you think they d like to go in St Louis| [person:stanley m 2-2][person:friends g(tim:roger) 4-4][location:st__louis s 10-11]
stanley| They haven t seen the great arch so I think they d like that best| [person:friends g(tim:roger) 0-0][person:stanley m 8-8][person:friends g(tim:roger) 10-10]
doug| That would be nice to show them Sure thing When should I plan to take them| [person:them g(tim:roger) 6-6][person:doug m 11-11][person:them g(tim:roger) 15-15]
stanley| How about at 3 PM Tuesday|
doug| You betcha I ll meet at your house then| [person:stanley m 0-0][person:doug m 2-2][person:stanley m 6-6]
stanley| Great thanks so much See you then| [person:doug m 5-5]

conv:people_2019081901_2:aug_0:chat_0:chataug_0| cynthia megan| [person:cynthia f 0-0][person:megan f 1-1]
cynthia| Hey I meant to tell you I ran into Jacob Clark a little while ago| [person:cynthia f 1-1][person:megan f 5-5][person:cynthia f 6-6][person:jaco m 9-9]
megan| Oh how nice Did he say where they wanted to go for dinner| [person:jaco m 4-4][person:they g(cynthia:megan:jaco) 7-7]
cynthia| No there s bad news about that They had something come up and we have to cancel dinner| [person:they g(cynthia:megan:jaco) 7-7][person:they g(cynthia:megan:jaco) 13-13]
megan| That s disappointing I was looking forward to it I hope everything s all right with them| [person:cynthia f 3-3][person:cynthia f 9-9][person:they g(cynthia:megan:jaco) 16-16]
cynthia| No just something with Jennifer s job that night We ll do it some other time with them| [person:jennifer f 4-4][person:they g(cynthia:megan:jaco) 9-9][person:they g(cynthia:megan:jaco) 17-17]
