conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
roger| Hey Olivia Have you heard about the recent scary movie| [person:olivia f 1-1][person:olivia f 3-3]
olivia| Ya Roger Seems that the movie is too scary and kids are not advised to see that movie| [person:roger m 1-1][person:kids g() 10-10]
roger| Anyway we can go right Are you really interested| [person:we g(roger:olivia) 1-1][person:olivia f 6-6]
olivia| Not exactly I will feel myself comfortable if we go in a group Can we invite Thomas and Brittany the next door neighbors| [person:olivia f 2-2][person:olivia f 5-5][person:we g(roger:olivia) 8-8][person:we g(roger:olivia) 14-14][person:thomas m 16-16][person:brittany f 18-18][person:neighbors g(thomas:brittany) 22-22]
roger| I don t think it as a good idea I am sure that Thomas is not a big fan of scary movies| [person:roger m 0-0][person:roger m 9-9][person:thomas m 13-13]
olivia| Alright In that case shall we plan for some other movie| [person:we g(roger:olivia) 5-5]
roger| Sure Lets call Brittany and Thomas here and then we will discuss about it| [person:brittany f 3-3][person:thomas m 5-5][person:all g(roger:olivia:thomas:brittany) 9-9]
olivia| Sounds great Every time they both come for our preferences Lets give them the turn this time| [person:neighbors g(thomas:brittany) 4-4][person:we g(roger:olivia) 8-8][person:neighbors g(thomas:brittany) 12-12]
roger| Good I am sure that Thomas will skip that scary movie anyways| [person:roger m 1-1][person:thomas m 5-5]
olivia| Don t worry We will plan it some other day| [person:we g(roger:olivia) 3-3]

conv:people_chats_04182020_376:aug_0:chat_0:chataug_0| ivan jane| [person:ivan m 0-0][person:jane f 1-1]
jane| Hey Ivan your sister Kate s birthday and our anniversary is on the way What are your plans for the celebrations this time| [person:ivan m 1-1][person:ivan m 2-2][person:kate f 3-3][person:kate f 4-4][person:our g(jane:ivan) 8-8][person:ivan m 16-16]
ivan| I was thinking about a family trip What do you think| [person:ivan m 0-0][person:family g() 5-5][person:jane f 9-9]
jane| I think it s better to stay at home and enjoy together| [person:jane f 0-0][location:home s 8-8]
ivan| What do you think Kate wants to do on her birthday| [person:jane f 2-2][person:kate f 4-4][person:kate f 9-9]
jane| I have no idea do you remember how she celebrated her previous birthday| [person:jane f 0-0][person:ivan m 5-5][person:kate f 8-8][person:kate f 10-10]
ivan| I don t know I think we should talk to her before deciding anything| [person:ivan m 0-0][person:ivan m 4-4][person:our g(jane:ivan) 6-6][person:kate f 10-10]
jane| Okay I ll talk to her and then we ll decide about the celebrations| [person:jane f 1-1][person:kate f 5-5][person:our g(jane:ivan) 8-8]
ivan| Alright then Let s make this a memorable day for all of us| [person:us g(jane:ivan:kate) 12-12]
jane| Alright let s make this a memorable occasion|
ivan| I will buy some items required for the celebrations| [person:ivan m 0-0]

conv:people_chats_04182020_377:aug_0:chat_0:chataug_0| jon stephanie| [person:jon m 0-0][person:stephanie f 1-1]
jon| Hey Stephanie what are your plans for the weekend| [person:stephanie f 1-1][person:stephanie f 4-4]
stephanie| How about a brewery We can have good time there| [location:brewery s 3-3][person:jon_and_stephanie g(jon:stephanie) 4-4][location:brewery s 9-9]
jon| Sounds fun who else will be coming with us| [person:jon_and_stephanie g(jon:stephanie) 8-8]
stephanie| Great I was thinking to invite Edgar| [person:stephanie f 1-1][person:edgar m 6-6]
jon| What No If we invite Edgar his girlfriend Jean will also come| [person:jon_and_stephanie g(jon:stephanie) 3-3][person:edgar m 5-5][person:edgar m 6-6][person:jean f 8-8]
stephanie| It looks like you have problems with Jean| [person:jon m 3-3][person:jean f 7-7]
jon| Yeah she tends to spoil the fun with her constant complaining| [person:jean f 1-1][person:jean f 8-8]
stephanie| Okay we ll invite only Edgar then| [person:jon_and_stephanie g(jon:stephanie) 1-1][person:edgar m 5-5]
jon| Good I will talk to Edgar and make sure he understands the situation| [person:jon m 1-1][person:edgar m 5-5][person:edgar m 9-9]
stephanie| Great see you on Saturday| [person:jon m 2-2]

conv:people_chats_04182020_378:aug_0:chat_0:chataug_0| ellie john| [person:ellie f 0-0][person:john m 1-1]
john| Hey What classes are you taking this semester| [person:ellie f 4-4]
ellie| Hey there I still have a few openings on my schedule but I ll be on advanced mineralogy for sure| [person:ellie f 2-2][person:ellie f 9-9][person:ellie f 12-12]
john| That s nice I m having a hard time picking classes I m not sure what I should choose for a major| [person:john m 3-3][person:john m 11-11][person:john m 16-16]
ellie| That s a bummer|
ellie| Do you know Luke and Lilly| [person:john m 1-1][person:luke m 3-3][person:lilly f 5-5]
john| No who are they| [person:they g(luke:lilly) 3-3]
ellie| They are guidance counselors| [person:they g(luke:lilly) 0-0]
john| I don t know I don t really think this kind of stuff works| [person:john m 0-0][person:john m 4-4]
ellie| They helped me out a lot during the first semester I was having some serious focusing issues| [person:they g(luke:lilly) 0-0][person:ellie f 2-2][person:ellie f 10-10]
john| Did it really work|
ellie| Yeah I improved a lot after I sought their advice| [person:ellie f 1-1][person:ellie f 6-6][person:they g(luke:lilly) 8-8]
john| Well it doesn t hurt to try|
ellie| That s the spirit|
john| Ok I ll meet with them I ll schedule an appointment| [person:john m 1-1][person:they g(luke:lilly) 5-5][person:john m 6-6]
john| Ok I gotta go now Talk to you later| [person:john m 1-1][person:ellie f 7-7]
ellie| Good luck on your choice Try to take a few classes that I ll be in| [person:john m 3-3][person:ellie f 12-12]
john| Oh I ll definitely try It s always nice when we are in the same class| [person:john m 1-1][person:we g(john:ellie) 10-10]

conv:people_chats_04182020_379:aug_0:chat_0:chataug_0| carl rose| [person:carl m 0-0][person:rose f 1-1]
carl| Rose How about if we plan a family vacation to Hawaii| [person:rose f 0-0][person:carl_and_rose g(carl:rose) 4-4][person:family g(carl:rose) 7-7][location:hawaii s 10-10]
rose| Yeah It is a great place for the family vacation| [location:hawaii s 1-1][location:place s 5-5][person:family g(carl:rose) 8-8]
carl| So we have to plan accordingly for the trip isn t it| [person:carl_and_rose g(carl:rose) 1-1]
rose| Yes We have to be well planned for this vacation| [person:carl_and_rose g(carl:rose) 1-1]
carl| But I don t know how our parents Rafael and Denise would feel about the decision| [person:carl m 1-1][person:carl_and_rose g(carl:rose) 6-6][person:parents g() 7-7][person:rafael m 8-8][person:denise f 10-10]
rose| Yes Even I was also thinking about that| [person:rose f 2-2]
rose| But I think mom will not like the weather conditions in Hawaii| [person:rose f 1-1][person:denise f 3-3][location:hawaii s 11-11]
carl| If not Hawaii which place would be the best for a family vacation in US| [location:hawaii s 2-2][location:hawaii s 4-4][person:family g(carl:rose:denise:rafael) 11-11]
rose| I think Washington will be the good place for the family vacation| [person:rose f 0-0][location:washington s 2-2][location:place s 7-7][person:family g(carl:rose:denise:rafael) 10-10]
carl| I think that s a good place to make a visit We need to ask our parents about that| [person:carl m 0-0][location:place s 6-6][person:carl_and_rose g(carl:rose) 11-11][person:carl_and_rose g(carl:rose) 15-15][person:parents g(denise:rafael) 16-16]
rose| Ok let us discuss with our parents and then we will decide it together| [person:carl_and_rose g(carl:rose) 2-2][person:carl_and_rose g(carl:rose) 5-5][person:parents g(denise:rafael) 6-6][person:carl_and_rose g(carl:rose) 9-9]

conv:people_chats_04182020_380:aug_0:chat_0:chataug_0| eric gerald| [person:eric m 0-0][person:gerald m 1-1]
eric| Hey Gerald Me and Jim are planing to go out for the night Do you want to come with us| [person:eric m 1-1][person:eric m 2-2][person:jim m 4-4][person:gerald m 14-14][person:us g(eric:jim) 19-19]
gerald| Oh that s good But what s your planing Where do you want to take us| [person:eric m 7-7][person:eric m 11-11][person:us g(eric:jim:gerald) 15-15]
eric| Jim wants to have a long drive in a fresh air and have an Ice cream It has been to long that we all din t go out| [person:jim m 0-0][person:we g(eric:gerald:jim) 22-22]
gerald| That s a good idea But it s been long time that you both din t come to my home Why wont you come to my home| [person:jim m 12-12][person:gerald m 18-18][location:home s 19-19][person:eric m 22-22][person:gerald m 25-25][location:home s 26-26]
eric| Yeah it s fine we will come to your home But what will you prepare for us| [person:we g(eric:gerald:jim) 4-4][person:gerald m 8-8][location:home s 9-9][person:gerald m 13-13][person:us g(eric:jim:gerald) 16-16]
gerald| Haha Me and Val had a long week So i m inviting you both to my home and what do you want to have let me know then I will prepare it| [person:gerald m 1-1][person:val f 3-3][person:gerald m 9-9][person:jim m 12-12][person:gerald m 15-15][person:eric m 20-20][person:gerald m 25-25]
eric| Well sounds interesting I would love to have Chicken Biryani as you prepare it well| [person:eric m 3-3][person:gerald m 11-11]
gerald| Oh yeah even I like my cooking then it s fine I will prepare this for us and at final we will have Ice cream as Jim wants to have it right| [person:gerald m 3-3][person:gerald m 5-5][person:gerald m 11-11][person:us g(eric:jim:gerald) 16-16][person:we g(eric:gerald:jim) 20-20][person:jim m 26-26]
eric| That would be the great idea and Jim will love having it at the end We will get ready and met you| [person:jim m 7-7][person:we g(eric:gerald:jim) 15-15][person:gerald m 21-21]
gerald| Yeah me and Val will wait for you both| [person:gerald m 1-1][person:val f 3-3][person:jim m 7-7]

conv:people_chats_04182020_381:aug_0:chat_0:chataug_0| bonnie tommy| [person:bonnie f 0-0][person:tommy m 1-1]
bonnie| Tommy Are you done playing video games Please get up You need to go to grocery store to get veggies| [person:tommy m 0-0][person:tommy m 2-2][person:tommy m 10-10]
tommy| Mom Please give me 10 minutes I will be done I m playing the final match and it is important mom But why do you want veggies when it s already there| [person:bonnie f 0-0][person:tommy m 3-3][person:tommy m 6-6][person:tommy m 10-10][person:bonnie f 20-20][person:bonnie f 24-24]
bonnie| Four of my friends are coming to our house for dinner They are my closest friends till date So please stop your drama and come here I will give you the list of veggies to get from the store| [person:bonnie f 2-2][person:friends g() 3-3][person:our g(bonnie:tommy) 7-7][person:friends g() 11-11][person:bonnie f 13-13][person:friends g() 15-15][person:tommy m 21-21]
tommy| Okay mom but who all are coming now Most of your friends prefer italian dishes and there is no point me getting veggies now Shall we order the food from online| [person:bonnie f 1-1][person:bonnie f 10-10][person:friends g() 11-11][person:tommy m 20-20][person:our g(bonnie:tommy) 25-25]
bonnie| Don t make me angry and just do what I told you now Take 1 kilo tomatoes along with 1 kilo onions| [person:bonnie f 3-3][person:bonnie f 9-9][person:tommy m 11-11]
tommy| That s it mom What kind of tomatoes should I pick Big ones or medium sized Please show me any sample of it| [person:bonnie f 3-3][person:tommy m 9-9][person:tommy m 18-18]
bonnie| Look it s here and also take cabbage for noddles Hannah loves noddles| [person:hannah f 10-10]
tommy| Sure mom Please prepare broccoli for me I really wanted to eat I will take half a kilo of broccoli Is there anything else mom| [person:bonnie f 1-1][person:tommy m 6-6][person:tommy m 7-7][person:tommy m 12-12][person:bonnie f 24-24]
bonnie| Jaime loves fried rice So please take carrots as well Carrots should be long not the small ones Understood| [person:jaime m 0-0]
tommy| Sure mom I will be back with in an hour Meanwhile you keep everything ready I m already starving| [person:bonnie f 1-1][person:tommy m 2-2][person:bonnie f 11-11][person:tommy m 15-15]

conv:people_chats_04182020_382:aug_0:chat_0:chataug_0| karina tammy| [person:karina f 0-0][person:tammy f 1-1]
karina| Hey Tammy I m willing to get Raptors tickets for raffle prize| [person:tammy f 1-1][person:karina f 2-2]
tammy| Yeah even I am willing the same thing| [person:tammy f 2-2]
karina| But for which game shall we purchase the tickets| [person:we g(karina:tammy) 5-5]
tammy| I don t know but Simon and Edmund can help us in this as they really know about basketball| [person:tammy f 0-0][person:simon m 5-5][person:edmund m 7-7][person:we g(karina:tammy) 10-10][person:they g(simon:edmund) 14-14]
karina| Simon has an expensive taste and I think he ll suggest us an expensive game only| [person:simon m 0-0][person:karina f 6-6][person:simon m 8-8][person:we g(karina:tammy) 11-11]
tammy| What shall we do then| [person:we g(karina:tammy) 2-2]
karina| Ask Edmund he can give us a good suggestion| [person:edmund m 1-1][person:edmund m 2-2][person:we g(karina:tammy) 5-5]
tammy| Yeah I will ask him and tell you about it soon| [person:tammy f 1-1][person:edmund m 4-4][person:karina f 7-7]
karina| Okay I will be waiting for your response| [person:karina f 1-1][person:tammy f 6-6]
tammy| Yeah sure I will let you know as soon as possible| [person:tammy f 2-2][person:karina f 5-5]

conv:people_chats_04182020_383:aug_0:chat_0:chataug_0| alexa jody| [person:alexa f 0-0][person:jody f 1-1]
jody| Hey Alexa I was planning to buy gifts for our friends for Christmas| [person:alexa f 1-1][person:jody f 2-2][person:our g(jody:alexa) 9-9][person:friends g() 10-10]
alexa| That s a great idea Even I was thinking to buy gifts for both Russell and Luis| [person:alexa f 6-6][person:russell m 14-14][person:luis m 16-16]
jody| What are you thinking to buy for them| [person:alexa f 2-2][person:friends g(russell:luis) 7-7]
alexa| I don t know what Russell likes I m confused about the gift| [person:alexa f 0-0][person:russell m 5-5][person:alexa f 7-7]
jody| I want to get video games for Russell| [person:jody f 0-0][person:russell m 7-7]
jody| But I am confused about Luis| [person:jody f 1-1][person:luis m 5-5]
alexa| It would be better if we buy accessories for Luis| [person:our g(jody:alexa) 5-5][person:luis m 9-9]
alexa| Let s do one thing I ll go buy accessories for Luis and you buy video games for Russell| [person:alexa f 5-5][person:luis m 11-11][person:jody f 13-13][person:russell m 18-18]
jody| Yeah that s a great idea I will go and get video games for him| [person:jody f 6-6][person:russell m 14-14]
alexa| Yeah I ll look for some cool accessories| [person:alexa f 1-1]

conv:people_chats_04182020_384:aug_0:chat_0:chataug_0| albert joshua| [person:albert m 0-0][person:joshua m 1-1]
albert| Joshua which church shall we attend in the town| [person:joshua m 0-0][location:church s 2-2][person:we g(albert:joshua) 4-4][location:town s 8-8]
joshua| Let us find a gayfriendly church in this town where we can get married| [person:us g(albert:joshua) 1-1][person:we g(albert:joshua) 10-10]
albert| I think we should consult our former parish priest Anthony regarding this situation| [person:albert m 0-0][person:we g(albert:joshua) 2-2][person:our g(albert:joshua) 5-5][person:anthony m 9-9]
joshua| Anthony has already given me the list of options in the new city| [person:anthony m 0-0][person:joshua m 4-4][location:city s 12-12]
albert| Great I really appreciate his efforts as he made our work easy| [person:albert m 1-1][person:anthony m 4-4][person:anthony m 7-7][person:our g(albert:joshua) 9-9]
joshua| Okay let s just go and consult our mayor Mr Malone and ask him about the most progressive neighbourhood| [person:our g(albert:joshua) 7-7][person:mr__malone m 10-10][person:mr__malone m 13-13]
albert| Yeah great idea but when shall we go to him| [person:we g(albert:joshua) 6-6][person:mr__malone m 9-9]
joshua| After checking all the churches which are in the list that our priest gave us| [location:churches g() 4-4][person:our g(albert:joshua) 11-11][person:us g(albert:joshua) 14-14]
albert| Okay let s check them soon and select one then| [person:mr__malone m 4-4]
joshua| Yeah let s do that soon|

conv:people_chats_04182020_386:aug_0:chat_0:chataug_0| jonathan paige| [person:jonathan m 0-0][person:paige f 1-1]
jonathan| Hi Paige I wanted to let you know that I m going out of town on a work trip| [person:paige f 1-1][person:jonathan m 2-2][person:paige f 6-6][person:jonathan m 9-9][location:town s 14-14]
paige| Hi Jonathan When is your trip going to be| [person:jonathan m 1-1][person:jonathan m 4-4]
jonathan| My trip is in next week I was wondering if we could trade days with our children| [person:jonathan m 0-0][person:jonathan m 6-6][person:we g(jonathan:paige) 10-10][person:we g(jonathan:paige) 15-15]
paige| Sure I ll watch the kids on the days you are gone for We can trade days in the week after| [person:paige f 1-1][person:kids g() 5-5][person:jonathan m 9-9][person:we g(jonathan:paige) 13-13]
jonathan| That sounds great Thanks for helping me out| [person:jonathan m 6-6]
paige| I just remembered that Jonah has a science fair project due next week and he still needs to pick a topic| [person:paige f 0-0][person:jonah m 4-4][person:jonah m 14-14]
jonathan| Okay I ll help him with the topic for the science fair project| [person:jonathan m 1-1][person:jonah m 4-4]
paige| Lawrence also has a cooking project next week Can you make sure they both complete their projects| [person:lawrence m 0-0][person:jonathan m 9-9][person:they g(jonah:lawrence) 12-12][person:they g(jonah:lawrence) 15-15]
jonathan| No problem I ll make sure that they complete their projects in time| [person:jonathan m 2-2][person:they g(jonah:lawrence) 7-7][person:they g(jonah:lawrence) 9-9]
paige| Thanks for making it easy for me Jonathan Have a safe trip| [person:paige f 6-6][person:jonathan m 7-7]

conv:people_chats_04182020_387:aug_0:chat_0:chataug_0| emma mary| [person:emma f 0-0][person:mary f 1-1]
emma| Mary don t forget to get some pasta for me| [person:mary f 0-0][person:emma f 9-9]
mary| Yeah okay but I was thinking what may our cousins need| [person:mary f 3-3][person:our g(emma:mary) 8-8][person:cousins g() 9-9]
emma| Dwight is totally fond of fruits| [person:dwight m 0-0]
mary| Amy is fond of cookies and other snacks Do you think I should buy them| [person:amy f 0-0][person:emma f 9-9][person:mary f 11-11]
emma| Yeah go ahead and don t forget to pick some apples for Dwight| [person:dwight m 12-12]
mary| Okay I will do that if you see anything good to eat please get them we can try something new| [person:mary f 1-1][person:emma f 6-6][person:we g(emma:mary) 15-15]
emma| I was thinking about how different tastes our cousins have| [person:emma f 0-0][person:our g(emma:mary) 7-7][person:cousins g(dwight:amy) 8-8]
mary| Yes and shopping based on their preferences is very difficult Anyway let s buy some drinks too| [person:their g(dwight:amy) 5-5]
emma| Yeah I ll pick few drinks and meet you at the billing counter| [person:emma f 1-1][person:mary f 8-8]
mary| Okay lets make it quick and get going|

conv:people_chats_04182020_388:aug_0:chat_0:chataug_0| maya nick| [person:maya f 0-0][person:nick m 1-1]
maya| Where do you think we should meet Jace and Heather| [person:nick m 2-2][person:we g(maya:nick) 4-4][person:jace m 7-7][person:heather f 9-9]
nick| Well I know i m going to be hungry after the event so I say we start at a restaurant| [person:nick m 1-1][person:nick m 3-3][person:nick m 13-13][person:we g(maya:nick) 15-15][location:restaurant s 19-19]
maya| That sounds like a good idea|
nick| If I remember Heather is a big fan of Italian food| [person:nick m 1-1][person:heather f 3-3]
maya| I think you are right There is a nice little Italian place downtown| [person:maya f 0-0][person:nick m 2-2][location:little_italian_place s 9-11][location:downtown s 12-12]
nick| Perfect we can also have a few drinks| [person:we g(maya:nick:jace:heather) 1-1]
maya| After that we can go to a dance club with them| [person:we g(maya:nick) 2-2][location:club s 8-8][person:them g(jace:heather) 10-10]
nick| Man we haven t been dancing in awhile That sounds like fun| [person:we g(maya:nick) 1-1]
maya| Yes it does I will send them a text to meet at the Italian place| [person:maya f 3-3][person:them g(jace:heather) 6-6][location:place s 14-14]
nick| Ok why don t you tell them to meet us at 6 pm| [person:maya f 4-4][person:them g(jace:heather) 6-6][person:us g(maya:nick) 9-9]
maya| Ok that sounds like a great time|
nick| This is going to be a fun night I am looking forward to it| [person:nick m 8-8]
maya| So am I we haven t been out with Jace and Heather in months| [person:maya f 2-2][person:we g(maya:nick) 3-3][person:jace m 9-9][person:heather f 11-11]
nick| Let me know when they text you back Now lets get ready for the race| [person:nick m 1-1][person:they g(jace:heather) 4-4][person:maya f 6-6]

conv:people_chats_04182020_389:aug_0:chat_0:chataug_0| diego jimmy| [person:diego m 0-0][person:jimmy m 1-1]
diego| Hello Jimmy day is fully packed with work and I m tierd| [person:jimmy m 1-1][person:diego m 9-9]
jimmy| Hey Diego I even feel the same Okay let s play football for a while so that we will be relaxed and can concentrate further| [person:diego m 1-1][person:jimmy m 2-2][person:we g(diego:jimmy) 17-17]
diego| Nice idea actually we shall invite our classmates Jaime and Christopher and ask them to join us| [person:we g(diego:jimmy) 3-3][person:we g(diego:jimmy) 6-6][person:classmates g() 7-7][person:jaime m 8-8][person:christopher m 10-10][person:classmates g(jaime:christopher) 13-13]
jimmy| That s cool actually let us find out whether they interested or not but not this early We shall finish our work which takes one hour time and we will reach out them| [person:we g(diego:jimmy) 5-5][person:classmates g(jaime:christopher) 9-9][person:we g(diego:jimmy) 17-17][person:we g(diego:jimmy) 20-20][person:we g(diego:jimmy) 28-28]
diego| Okay we will do as you said| [person:we g(diego:jimmy) 1-1][person:jimmy m 5-5]
jimmy| Diego Jaime is available to play where as Christopher is not in a position to play| [person:diego m 0-0][person:jaime m 1-1][person:christopher m 8-8]
diego| Yeah I even got to know that Christopher got injured yesterday in P E class| [person:diego m 1-1][person:christopher m 7-7]
jimmy| Yes and what to do now We need another person to play with us| [person:we g(diego:jimmy) 6-6][person:we g(diego:jimmy) 13-13]
diego| We shall invite another classmate to join us as pupils are free now they might come| [person:we g(diego:jimmy) 0-0][person:we g(diego:jimmy) 7-7][person:classmates g(jaime:christopher) 13-13]
jimmy| Sure let s not waste time find the one and start playing|

conv:people_chats_04182020_390:aug_0:chat_0:chataug_0| julie maddie| [person:julie f 0-0][person:maddie f 1-1]
julie| Hey Maddie do you remember our dad s birthday is around the corner| [person:maddie f 1-1][person:maddie f 3-3][person:our g(julie:maddie) 5-5][person:dad m 6-6]
maddie| Oh no I had completely forgotten about that What should we do for him| [person:maddie f 2-2][person:we g(julie:maddie) 10-10][person:dad m 13-13]
julie| How about planning a surprise party for him| [person:dad m 7-7]
maddie| That would be nice Let s include Pete in the planning process| [person:pete m 7-7]
julie| Yeah I was just thinking about that but I feel including him is not necessary| [person:julie f 1-1][person:julie f 8-8][person:pete m 11-11]
maddie| Why do you think so| [person:julie f 2-2]
julie| He is hard to reach and doesn t really like parties| [person:pete m 0-0]
maddie| Well I don t know if dad likes parties either| [person:maddie f 1-1][person:dad m 6-6]
julie| No he enjoys parties and if we surprise him he will definitely be happy| [person:dad m 1-1][person:we g(julie:maddie) 6-6][person:dad m 8-8][person:dad m 9-9]
maddie| Alright let s go ahead with our plan then| [person:our g(julie:maddie) 6-6]

conv:people_chats_04182020_391:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hai Rita can you give ride to John to airport| [person:rita f 1-1][person:rita f 3-3][person:john m 7-7]
rita| oh sorry dear I am in a hurry| [person:rita f 3-3]
jane| Are you engaged in something elese| [person:rita f 1-1]
rita| Yeah Dad was supposed to drop off kids but he had an urgency| [person:dad m 1-1][person:kids g() 7-7][person:dad m 9-9]
jane| I think you have to drop off kids| [person:jane f 0-0][person:rita f 2-2][person:kids g() 7-7]
rita| Yeah I will be free after that| [person:rita f 1-1]
jane| I think it will be too late after that| [person:jane f 0-0]
rita| Then what should be done|
jane| Do you have any other option| [person:rita f 1-1]
rita| Why dont you call Adam| [person:jane f 2-2][person:adam m 4-4]
jane| Will he be free now| [person:adam m 1-1]
rita| yeah he will be free| [person:adam m 1-1]
jane| Ok I shall call him| [person:jane f 1-1][person:adam m 4-4]
rita| he can help you he will take John| [person:adam m 0-0][person:jane f 3-3][person:adam m 4-4][person:john m 7-7]
rita| I think uber will be a right choice perhaps| [person:rita f 0-0]

conv:people_chats_04182020_392:aug_0:chat_0:chataug_0| carol sydney| [person:carol f 0-0][person:sydney f 1-1]
carol| Hi Sydney Remember how we overheard Alice and Victoria in the library today| [location:sydney s 1-1][person:we g(carol:sydney) 4-4][person:alice f 6-6][person:victoria f 8-8][location:library s 11-11]
sydney| Yes Carol Alice was telling Victoria how she could understand the algebra material| [person:carol f 1-1][person:alice f 2-2][person:victoria f 5-5][person:victoria f 7-7]
carol| Imagine if intelligent students like them are unable to understand the subject then how much of a hard time people like us will have| [person:them g(alice:victoria) 5-5][person:us g(carol:sydney) 21-21]
sydney| That is exactly what I was thinking Carol| [person:sydney f 4-4][person:carol f 7-7]
carol| Professor has given us material that cant be understood for a difficult chapter like Algebra| [person:us g(carol:sydney) 3-3]
sydney| I don t know how we will write our exams if things go on like this| [person:sydney f 0-0][person:we g(carol:sydney) 5-5][person:our g(carol:sydney) 8-8]
carol| You are right Sydney I ll definitely fail| [person:sydney f 0-0][person:sydney f 3-3][person:carol f 4-4]
sydney| I think 70 of the class will Professor will not be happy| [person:sydney f 0-0]
carol| I think we should speak to Alice and Victoria and decide if it would be a good idea to ask professor to give us simpler material for Algebra| [person:carol f 0-0][person:we g(carol:sydney) 2-2][person:alice f 6-6][person:victoria f 8-8][person:us g(carol:sydney) 23-23]
sydney| That s a good idea We ll do that tomorrow| [person:we g(carol:sydney) 5-5]

conv:people_chats_04182020_393:aug_0:chat_0:chataug_0| clair nick| [person:clair f 0-0][person:nick m 1-1]
clair| Hey Nick How s your homework going on| [person:nick m 1-1][person:nick m 4-4]
nick| Hi Mom I am almost done with my home work| [person:clair f 1-1][person:nick m 2-2][person:nick m 7-7][location:home s 8-8]
nick| I have interviewed two of my neighbors Vince and Ruby| [person:nick m 0-0][person:nick m 5-5][person:neighbors g() 6-6][person:vince m 7-7][person:ruby f 9-9]
clair| Okay what do you know about Vince| [person:nick m 3-3][person:vince m 6-6]
nick| I know that he is a retired civil engineer and has helped to construct some iconic buildings| [person:nick m 0-0][person:vince m 3-3][location:buildings g() 16-16]
clair| Okay that s nice What do you know about Ruby| [person:nick m 6-6][person:ruby f 9-9]
nick| I just know that she has posted online that she sells paper products| [person:nick m 0-0][person:ruby f 4-4][person:ruby f 9-9]
clair| Is she a saleswoman Nick I doubt about that| [person:ruby f 1-1][person:nick m 4-4][person:clair f 5-5]
nick| I do not think that she is a saleswoman Mom| [person:nick m 0-0][person:ruby f 5-5][person:clair f 9-9]
clair| I wonder if she have a top security clearance| [person:clair f 0-0][person:ruby f 3-3]
nick| Why do you think like that| [person:clair f 2-2]
clair| It s because one of the President s secret service agents looks similar to her| [person:ruby f 14-14]
nick| I wonder whether I will have any success interviewing Ruby| [person:nick m 0-0][person:nick m 3-3][person:ruby f 9-9]
clair| Try hard you ll definitely interview her| [person:nick m 2-2][person:ruby f 6-6]

conv:people_chats_04182020_394:aug_0:chat_0:chataug_0| donald nina| [person:donald m 0-0][person:nina f 1-1]
donald| Hey Nina did you notice that there is a new highway being built in our community| [person:nina f 1-1][person:nina f 3-3][location:highway s 10-10][person:our g(donald:nina) 14-14]
nina| Yeah I did notice that Donald I wonder whether the same thing is going on at our cousins Caleb and Valerie s place| [person:nina f 1-1][person:donald m 5-5][person:nina f 6-6][person:our g(donald:nina) 16-16][person:cousins g() 17-17][person:caleb m 18-18][person:valerie f 20-20][location:place s 22-22]
donald| Yeah let s ask them whether the same work is going on at their place or not| [person:cousins g(caleb:valerie:caleb:valerie) 4-4][person:cousins g(caleb:valerie:caleb:valerie) 13-13][location:place s 14-14]
nina| Yeah just now Caleb told me that the same work is going on at their place too But they are concerned about one thing| [person:caleb m 3-3][person:nina f 5-5][person:cousins g(caleb:valerie:caleb:valerie) 14-14][location:place s 15-15][person:cousins g(caleb:valerie:caleb:valerie) 18-18]
donald| Why What is the reason that they are so concerned about the new highway| [person:cousins g(caleb:valerie:caleb:valerie) 6-6][location:highway s 13-13]
nina| Due to the new highway the traffic might increase and there can be a lot of nuisance in the neighborhood| [location:highway s 4-4][location:highway s 10-10]
donald| Yeah that is a big reason to worry|
nina| Yeah even we will be facing the same trouble here| [person:our g(donald:nina) 2-2]
donald| Yeah but we can t do anything about it as we have to face it| [person:our g(donald:nina) 2-2][person:our g(donald:nina) 10-10]
nina| I know right Let s see what happens| [person:nina f 0-0]

conv:people_chats_04182020_395:aug_0:chat_0:chataug_0| joan karina| [person:joan f 0-0][person:karina f 1-1]
karina| Joan I am afraid we might get caught for committing the fraud| [person:joan f 0-0][person:karina f 1-1][person:we g(karina:joan) 4-4]
joan| Yeah even I m afraid but what shall we do in order to get away with that fraud| [person:joan f 2-2][person:we g(karina:joan) 8-8]
karina| We can consult a lawyer to be safe just in case| [person:we g(karina:joan) 0-0][person:lawyer u 4-4]
joan| Okay I know a lawyer Heather she can help us in this case| [person:joan f 1-1][person:lawyer u 4-4][person:heather f 5-5][person:heather f 6-6][person:we g(karina:joan) 9-9]
karina| Okay but how much will this cost us I know a lawyer called Kelly she is good and affordable| [person:we g(karina:joan) 7-7][person:karina f 8-8][person:lawyer u 11-11][person:kelly f 13-13][person:kelly f 14-14]
joan| Will she be able to help us in this case if things get bad| [person:kelly f 1-1][person:we g(karina:joan) 6-6]
karina| yeah she is reputed criminal attorney I think she can get us out of this mess| [person:kelly f 1-1][person:lawyer u 5-5][person:karina f 6-6][person:kelly f 8-8][person:we g(karina:joan) 11-11]
